Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,509.28,529.08,-999999,9128.88,9128.88,9437.81,9120.16,9140.2,576.59,ActiveWorkout,10.104,16.0.2,4.19,128,2601,94,2601,3133,ios,4.19,245.3,watchos,NO,NO,YES,0,173,245.3,66,29,watchos,gps,868,4.000000,,-1,-1,2023-01-14T13:31:58,133747,0,21

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
9140.197266,0,69,245.3,0,0,245.3,0.000000,39.589714,-106.013336,0.000000,0,0
9140.197266,0,69,245.3,0,2,245.3,0.000000,39.589714,-106.013336,0.000000,1,0
9137.623047,0,68,49.4,0,5,49.4,0.002495,39.589691,-106.013359,0.002495,2,0
9134.421875,0,68,8.89,0,8,8.89,0.009431,39.589767,-106.013275,0.009431,3,0
9137.071289,0,66,6.34,0,11,6.34,0.017197,39.589771,-106.013130,0.017197,4,5
9136.694336,0,75,6.25,0,14,6.25,0.025191,39.589699,-106.013016,0.025191,5,8
9139.055664,0,75,6.57,0,17,6.57,0.032748,39.589645,-106.012909,0.032748,6,12
9138.516602,0,91,9.29,0,20,9.29,0.038356,39.589615,-106.012825,0.038356,7,16
9138.764648,1,91,6.45,0,23,6.45,0.045403,39.589592,-106.012695,0.045403,8,19
9140.251953,1,92,7.09,0,26,7.09,0.052783,39.589615,-106.012566,0.052783,9,26
9137.077148,1,99,7.67,0,29,7.67,0.059189,39.589539,-106.012505,0.059189,10,29
9139.799805,1,99,7.4,0,32,7.4,0.066566,39.589493,-106.012375,0.066566,11,32
9138.977539,2,103,7.39,0,35,7.39,0.073196,39.589447,-106.012268,0.073196,12,36
9139.022461,2,103,8.82,0,38,8.82,0.078722,39.589409,-106.012184,0.078722,13,40
9141.370117,2,105,10.34,0,41,10.34,0.083730,39.589355,-106.012131,0.083730,14,43
9137.694336,2,106,11.81,0,45,11.81,0.087692,39.589336,-106.012085,0.087692,15,50
9133.634766,3,106,12.26,0,47,12.26,0.092379,39.589279,-106.012047,0.092379,16,53
9136.177734,3,108,12.35,0,50,12.35,0.096685,39.589218,-106.012070,0.096685,17,56
9133.301758,3,108,10.6,0,53,10.6,0.102014,39.589172,-106.012146,0.102014,18,60
