Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,208.05,304.11,-999999,5370.76,5370.76,5406,5278.61,5406,664.85,ActiveWorkout,10.104,16.0.2,4.86,128,2739,60.85,2737,3440,ios,4.86,584.64,watchos,NO,NO,YES,0,179,584.64,58,26,watchos,gps,913,4.000000,,-1,-1,2023-02-11T16:18:57,148331,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5406.004883,0,58,152.36,0,0,152.36,0.000000,39.748062,-104.838768,0.000000,0,0
5406.004883,0,58,152.36,0,1,152.36,0.000000,39.748062,-104.838768,0.000000,1,0
5377.746582,0,61,584.64,0,4,584.64,0.002737,39.748104,-104.838776,0.002737,2,0
5376.369141,0,61,13.33,0,7,13.33,0.008283,39.748123,-104.838875,0.008283,3,0
5375.443359,0,64,6.46,0,10,6.46,0.015729,39.748119,-104.839012,0.015729,4,0
5373.775879,0,66,7.24,0,13,7.24,0.023076,39.748127,-104.839149,0.023076,5,8
5374.623047,0,66,7.2,0,16,7.2,0.030023,39.748131,-104.839279,0.030023,6,12
5376.552734,0,66,8.02,0,19,8.02,0.036007,39.748146,-104.839386,0.036007,7,16
5374.672363,0,66,8.21,0,22,8.21,0.041632,39.748161,-104.839493,0.041632,8,22
5376.139160,0,97,8.13,0,25,8.13,0.047900,39.748184,-104.839577,0.047900,9,22
5378.034668,1,98,6.51,0,28,6.51,0.055238,39.748287,-104.839554,0.055238,10,26
5374.708984,1,98,7.81,0,31,7.81,0.062019,39.748383,-104.839569,0.062019,11,32
5372.581055,1,102,7.41,0,34,7.41,0.068535,39.748478,-104.839561,0.068535,12,36
5375.444336,1,102,8.38,0,37,8.38,0.074309,39.748558,-104.839554,0.074309,13,40
5374.950684,2,104,8.24,0,40,8.24,0.080335,39.748646,-104.839554,0.080335,14,43
5370.870117,2,110,8.18,0,43,8.18,0.086676,39.748734,-104.839561,0.086676,15,46
5370.272461,2,110,7.59,0,46,7.59,0.093212,39.748829,-104.839554,0.093212,16,54
5372.192383,3,111,8.24,0,49,8.24,0.099455,39.748917,-104.839554,0.099455,17,57
5365.940918,3,111,8.39,0,52,8.39,0.105484,39.749001,-104.839561,0.105484,18,60
5365.437500,3,115,8.1,0,55,8.1,0.111816,39.749088,-104.839592,0.111816,19,64
5364.894043,4,115,8.91,0,58,8.91,0.117356,39.749149,-104.839653,0.117356,20,68
5366.088379,4,117,8.7,0,61,8.7,0.123675,39.749218,-104.839722,0.123675,21,70
5365.192871,5,118,8.83,0,64,8.83,0.129770,39.749298,-104.839767,0.129770,22,78
5367.758789,5,118,8.75,0,67,8.75,0.135470,39.749378,-104.839790,0.135470,23,84
5372.345703,5,122,7.92,0,70,7.92,0.142487,39.749397,-104.839912,0.142487,24,84
5371.842773,6,122,8.3,0,73,8.3,0.149026,39.749489,-104.839897,0.149026,25,88
