Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,259.85,293.87,-999999,5375.86,5375.86,5401.39,5289.86,5396.51,621.19,ActiveWorkout,10.104,16.3.1,4.81,128,2710,83.76,2710,3426,ios,4.81,204.18,watchos,NO,NO,YES,0,172,204.18,75,34,watchos,gps,903,4.000000,,-1,-1,2023-03-29T18:15:34,141958,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5393.275391,0,77,73.15,0,0,73.15,0.000000,39.748272,-104.838753,0.000000,0,0
5396.509766,0,77,204.18,0,1,204.18,0.000129,39.748268,-104.838745,0.000129,1,0
5401.387695,0,78,99.72,0,4,99.72,0.001466,39.748260,-104.838768,0.001466,2,0
5397.692871,0,78,23.39,0,8,23.39,0.003913,39.748238,-104.838799,0.003913,3,0
5378.092285,0,78,11.48,0,10,11.48,0.008761,39.748184,-104.838760,0.008761,4,0
5377.474121,0,78,67.83,0,14,67.83,0.010727,39.748203,-104.838783,0.010727,5,0
5374.070801,1,78,23.97,0,16,23.97,0.013016,39.748203,-104.838814,0.013016,6,0
5372.824219,1,75,6.57,0,19,6.57,0.021364,39.748146,-104.838928,0.021364,7,0
5378.389648,1,75,5.84,0,22,5.84,0.028940,39.748165,-104.839058,0.028940,8,6
5385.509766,1,75,7.13,0,25,7.13,0.035704,39.748165,-104.839165,0.035704,9,10
5381.946289,1,78,8.47,0,28,8.47,0.041255,39.748180,-104.839264,0.041255,10,12
5381.205566,1,78,8.02,0,31,8.02,0.048192,39.748177,-104.839386,0.048192,11,16
5384.042969,1,97,8.55,0,34,8.55,0.054510,39.748188,-104.839500,0.054510,12,23
5382.522461,1,98,6.55,0,37,6.55,0.062940,39.748272,-104.839569,0.062940,13,26
5378.581055,2,98,6.55,0,40,6.55,0.070330,39.748371,-104.839539,0.070330,14,30
5381.805176,2,104,10.03,0,43,10.03,0.076097,39.748451,-104.839561,0.076097,15,34
5379.999512,2,104,8.14,0,46,8.14,0.082451,39.748543,-104.839561,0.082451,16,37
5383.000977,2,107,7.95,0,49,7.95,0.088803,39.748631,-104.839554,0.088803,17,44
5380.105957,3,108,7.46,0,52,7.46,0.095149,39.748722,-104.839561,0.095149,18,47
5377.308594,3,108,7.71,0,55,7.71,0.101768,39.748810,-104.839561,0.101768,19,50
5376.561035,3,115,7.82,0,58,7.82,0.107928,39.748898,-104.839554,0.107928,20,54
5378.283691,4,115,8.15,0,61,8.15,0.114482,39.748989,-104.839554,0.114482,21,58
5381.646973,4,116,8.61,0,64,8.61,0.120259,39.749065,-104.839584,0.120259,22,61
5381.993652,5,118,8.26,0,67,8.26,0.126133,39.749146,-104.839600,0.126133,23,68
5384.304199,5,118,7.32,0,70,7.32,0.133143,39.749207,-104.839691,0.133143,24,71
5385.333984,5,122,8.49,0,73,8.49,0.139150,39.749283,-104.839737,0.139150,25,78
5387.406250,6,122,8.13,0,76,8.13,0.145387,39.749367,-104.839790,0.145387,26,78
5382.365234,6,122,7.27,0,79,7.27,0.152273,39.749378,-104.839874,0.152273,27,81
5382.590332,7,122,6.5,0,82,6.5,0.160496,39.749485,-104.839882,0.160496,28,84
5379.488281,7,122,7.43,0,85,7.43,0.165732,39.749557,-104.839851,0.165732,29,92
5378.736816,8,125,8.84,0,88,8.84,0.171703,39.749641,-104.839867,0.171703,30,95
5375.984863,8,125,7.38,0,91,7.38,0.178110,39.749718,-104.839905,0.178110,31,98
5378.463379,8,131,7.16,0,94,7.16,0.184702,39.749809,-104.839912,0.184702,32,102
5379.361816,9,134,8.45,0,97,8.45,0.189804,39.749882,-104.839928,0.189804,33,105
5379.825684,10,134,8.79,0,100,8.79,0.195677,39.749966,-104.839905,0.195677,34,112
5380.791992,10,135,9.49,0,103,9.49,0.200772,39.750038,-104.839912,0.200772,35,115
5381.853516,11,135,9.08,0,106,9.08,0.206695,39.750122,-104.839905,0.206695,36,118
5382.851562,11,135,8.22,0,109,8.22,0.213127,39.750183,-104.839851,0.213127,37,122
5385.577148,12,131,8.53,0,112,8.53,0.218357,39.750210,-104.839760,0.218357,38,125
5384.586914,12,131,8.81,0,115,8.81,0.224317,39.750286,-104.839722,0.224317,39,128
5385.342773,13,137,9.64,0,118,9.64,0.229369,39.750355,-104.839691,0.229369,40,135
5383.250977,13,137,8.39,0,121,8.39,0.235455,39.750443,-104.839684,0.235455,41,138
5382.137695,14,137,8.17,0,124,8.17,0.241165,39.750519,-104.839645,0.241165,42,142
5379.999023,14,137,8.95,0,127,8.95,0.246468,39.750591,-104.839615,0.246468,43,145
5378.676270,15,137,8.71,0,130,8.71,0.252186,39.750671,-104.839607,0.252186,44,148
5378.301270,15,138,9.86,0,133,9.86,0.257012,39.750740,-104.839615,0.257012,45,152
5378.495117,16,141,9.06,0,136,9.06,0.262463,39.750816,-104.839600,0.262463,46,158
5378.136230,16,141,9.45,0,139,9.45,0.267827,39.750893,-104.839592,0.267827,47,162
5379.948730,17,141,9.39,0,142,9.39,0.273368,39.750973,-104.839607,0.273368,48,165
5377.045898,18,141,8.87,0,145,8.87,0.278957,39.751053,-104.839600,0.278957,49,168
5377.603027,18,140,8.36,0,148,8.36,0.284982,39.751137,-104.839607,0.284982,50,172
5374.662598,19,140,8.7,0,151,8.7,0.290719,39.751221,-104.839600,0.290719,51,178
5374.719238,19,140,8.91,0,154,8.91,0.296061,39.751293,-104.839600,0.296061,52,182
5372.641113,20,141,8.65,0,157,8.65,0.301533,39.751373,-104.839600,0.301533,53,184
5376.060059,20,141,8.37,0,160,8.37,0.307242,39.751457,-104.839600,0.307242,54,188
5375.442383,21,142,9.39,0,163,9.39,0.312638,39.751534,-104.839600,0.312638,55,192
5372.469238,21,142,9.02,0,166,9.02,0.318387,39.751617,-104.839592,0.318387,56,194
5372.543945,22,142,9.2,0,169,9.2,0.323880,39.751694,-104.839600,0.323880,57,204
5371.218750,23,142,8.76,0,172,8.76,0.329838,39.751778,-104.839615,0.329838,58,204
5373.537109,23,142,8.56,0,175,8.56,0.335885,39.751865,-104.839615,0.335885,59,208
5372.271973,24,141,7.55,0,178,7.55,0.342566,39.751961,-104.839607,0.342566,60,211
5371.486816,24,141,7.98,0,181,7.98,0.348852,39.752052,-104.839622,0.348852,61,214
5371.462402,25,141,9.46,0,184,9.46,0.353612,39.752117,-104.839607,0.353612,62,218
5373.180664,25,141,8.7,0,187,8.7,0.359752,39.752205,-104.839615,0.359752,63,224
5371.589355,26,141,8.64,0,190,8.64,0.365288,39.752285,-104.839607,0.365288,64,228
5371.105957,27,143,8.47,0,193,8.47,0.371410,39.752373,-104.839592,0.371410,65,234
5369.646484,27,143,8.41,0,196,8.41,0.377263,39.752457,-104.839584,0.377263,66,234
5366.251953,28,143,8.44,0,199,8.44,0.383287,39.752541,-104.839584,0.383287,67,238
5364.845215,28,143,8.76,0,202,8.76,0.389060,39.752625,-104.839592,0.389060,68,240
5364.427734,29,143,8.29,0,205,8.29,0.395342,39.752716,-104.839592,0.395342,69,247
5363.863770,30,144,7.95,0,208,7.95,0.401359,39.752800,-104.839592,0.401359,70,250
5363.238281,30,144,8.06,0,211,8.06,0.407513,39.752892,-104.839584,0.407513,71,254
5357.660645,31,144,8.64,0,214,8.64,0.413192,39.752968,-104.839577,0.413192,72,257
5358.220703,31,145,8.57,0,217,8.57,0.419231,39.753056,-104.839584,0.419231,73,260
5353.743164,32,145,8.18,0,220,8.18,0.425515,39.753147,-104.839569,0.425515,74,267
5353.181641,32,144,9.19,0,223,9.19,0.431297,39.753231,-104.839577,0.431297,75,270
5349.357910,33,144,7.32,0,226,7.32,0.438426,39.753334,-104.839592,0.438426,76,274
5350.764648,34,144,8.98,0,229,8.98,0.443819,39.753407,-104.839607,0.443819,77,277
5347.012207,34,144,8.58,0,232,8.58,0.449530,39.753487,-104.839607,0.449530,78,280
5344.348633,35,144,8.33,0,235,8.33,0.455502,39.753571,-104.839615,0.455502,79,284
5342.749512,35,144,8.65,0,238,8.65,0.461653,39.753658,-104.839615,0.461653,80,290
5340.294922,36,144,8.51,0,241,8.51,0.467511,39.753738,-104.839592,0.467511,81,294
5339.384277,37,144,8.6,0,244,8.6,0.473371,39.753822,-104.839615,0.473371,82,296
5337.579590,37,142,8.32,0,247,8.32,0.479472,39.753910,-104.839615,0.479472,83,300
5334.376465,38,142,8.72,0,250,8.72,0.485203,39.753986,-104.839592,0.485203,84,303
5334.946289,38,141,9.13,0,253,9.13,0.490672,39.754063,-104.839592,0.490672,85,306
5335.022461,39,141,8.6,0,256,8.6,0.496477,39.754147,-104.839584,0.496477,86,313
5334.425293,39,140,8.72,0,259,8.72,0.502326,39.754230,-104.839577,0.502326,87,316
5334.005859,40,142,8.2,0,262,8.2,0.508252,39.754314,-104.839584,0.508252,88,320
5335.128418,41,142,8.97,0,265,8.97,0.514002,39.754398,-104.839592,0.514002,89,323
5333.708008,41,143,9.49,0,268,9.49,0.519285,39.754475,-104.839584,0.519285,90,330
5336.421387,42,143,9.65,0,271,9.65,0.524680,39.754551,-104.839600,0.524680,91,332
5337.293945,42,144,7.72,0,274,7.72,0.532507,39.754543,-104.839737,0.532507,92,336
5339.263672,43,145,9.44,0,277,9.44,0.537295,39.754543,-104.839821,0.537295,93,340
5338.308105,43,145,9.4,0,280,9.4,0.542894,39.754536,-104.839920,0.542894,94,342
5338.838379,44,146,9.07,0,283,9.07,0.548578,39.754532,-104.840027,0.548578,95,346
5338.920898,45,146,8.77,0,286,8.77,0.554309,39.754532,-104.840134,0.554309,96,349
5340.193359,45,146,8.89,0,289,8.89,0.560071,39.754536,-104.840240,0.560071,97,356
5345.166992,46,147,9.14,0,292,9.14,0.565117,39.754539,-104.840340,0.565117,98,359
5344.509277,47,147,8.46,0,295,8.46,0.570904,39.754555,-104.840439,0.570904,99,362
5346.861328,47,147,9.46,0,298,9.46,0.576420,39.754562,-104.840546,0.576420,100,366
5345.241699,48,147,8.64,0,301,8.64,0.582219,39.754581,-104.840645,0.582219,101,369
5341.719238,48,148,8.14,0,304,8.14,0.588445,39.754673,-104.840660,0.588445,102,372
5338.855469,49,148,9.16,0,307,9.16,0.593788,39.754745,-104.840652,0.593788,103,378
5337.005859,50,148,9.4,0,310,9.4,0.599522,39.754810,-104.840714,0.599522,104,382
5339.585938,50,149,8.8,0,313,8.8,0.605232,39.754833,-104.840813,0.605232,105,386
5337.070801,51,149,9.73,0,316,9.73,0.610366,39.754837,-104.840904,0.610366,106,388
5338.990723,51,149,9.43,0,319,9.43,0.615361,39.754833,-104.840996,0.615361,107,392
5338.792480,52,148,8.76,0,322,8.76,0.621185,39.754841,-104.841103,0.621185,108,398
5342.026367,53,148,9.51,0,325,9.51,0.626362,39.754841,-104.841202,0.626362,109,402
5340.927246,53,146,8.87,0,328,8.87,0.631889,39.754852,-104.841301,0.631889,110,405
5340.707031,54,146,9.98,0,331,9.98,0.636626,39.754864,-104.841393,0.636626,111,408
5344.322266,55,146,9.46,0,334,9.46,0.642262,39.754860,-104.841499,0.642262,112,412
5340.948730,55,146,9.32,0,337,9.32,0.647792,39.754852,-104.841599,0.647792,113,415
5340.003906,56,146,9.66,0,340,9.66,0.652969,39.754860,-104.841698,0.652969,114,422
5340.046875,56,146,9.21,0,343,9.21,0.658058,39.754868,-104.841789,0.658058,115,425
5339.653320,57,146,8.74,0,346,8.74,0.663811,39.754879,-104.841888,0.663811,116,428
5339.566895,58,147,8.9,0,349,8.9,0.669400,39.754879,-104.841988,0.669400,117,432
5339.497070,58,147,9.13,0,352,9.13,0.675081,39.754883,-104.842094,0.675081,118,435
5337.797363,59,147,9.47,0,355,9.47,0.680351,39.754898,-104.842186,0.680351,119,438
5338.833984,59,149,10.17,0,358,10.17,0.685218,39.754887,-104.842278,0.685218,120,444
5338.673828,60,149,8.85,0,361,8.85,0.691056,39.754883,-104.842384,0.691056,121,448
5339.773926,61,149,9.97,0,364,9.97,0.695906,39.754883,-104.842476,0.695906,122,454
5341.836914,61,150,9.23,0,367,9.23,0.701277,39.754890,-104.842575,0.701277,123,454
5341.400391,62,150,8.98,0,370,8.98,0.706879,39.754890,-104.842682,0.706879,124,458
5337.684082,63,151,9.26,0,373,9.26,0.712192,39.754906,-104.842781,0.712192,125,461
5338.703125,63,151,8.94,0,376,8.94,0.717566,39.754898,-104.842880,0.717566,126,468
5336.338867,64,152,8.28,0,379,8.28,0.723931,39.754910,-104.842995,0.723931,127,471
5335.496582,64,151,8.46,0,382,8.46,0.728941,39.754894,-104.843086,0.728941,128,474
