Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,434.65,431.29,-999999,9147,9147,9438.06,9129.82,9146.53,683.05,ActiveWorkout,10.104,16.3.1,4.19,128,3131,130.04,3131,3638,ios,4.19,611.97,watchos,NO,NO,YES,0,167,611.97,93,0,watchos,gps,1044,4.000000,,39.5895195,-106.01333618,2023-04-07T15:01:11,159486,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
9146.532227,0,93,611.97,0,0,611.97,0.000000,39.589661,-106.013359,0.000000,0,0
9146.532227,0,93,611.97,0,2,611.97,0.000000,39.589661,-106.013359,0.000000,1,0
9146.532227,1,93,611.97,0,5,611.97,0.000000,39.589661,-106.013359,0.000000,2,0
9142.478516,1,93,15.48,0,8,15.48,0.006406,39.589741,-106.013298,0.006406,3,0
9136.886719,1,93,8.05,0,11,8.05,0.011848,39.589798,-106.013229,0.011848,4,0
9137.957031,1,95,7.18,0,14,7.18,0.019379,39.589752,-106.013123,0.019379,5,6
9137.572266,1,95,8.16,0,17,8.16,0.025148,39.589695,-106.013054,0.025148,6,13
9138.541016,2,102,8.58,0,20,8.58,0.031577,39.589657,-106.012947,0.031577,7,16
9141.719727,2,102,8.14,0,23,8.14,0.037566,39.589634,-106.012833,0.037566,8,23
9145.775391,2,102,7.96,0,26,7.96,0.044191,39.589626,-106.012718,0.044191,9,23
9146.091797,3,102,7.79,0,29,7.79,0.050022,39.589619,-106.012611,0.050022,10,26
9146.690430,3,102,9.23,0,32,9.23,0.055140,39.589573,-106.012535,0.055140,11,34
9137.171875,3,110,12.08,0,35,12.08,0.059494,39.589554,-106.012459,0.059494,12,37
9140.733398,3,109,7.83,0,38,7.83,0.066128,39.589497,-106.012367,0.066128,13,40
9140.542969,4,109,8.18,0,41,8.18,0.071703,39.589458,-106.012276,0.071703,14,44
9138.571289,4,111,7.88,0,44,7.88,0.078145,39.589405,-106.012192,0.078145,15,47
9139.424805,4,111,8.31,0,47,8.31,0.083969,39.589367,-106.012093,0.083969,16,54
9140.653320,5,112,9.36,0,50,9.36,0.089389,39.589298,-106.012054,0.089389,17,58
9141.347656,5,118,8.44,0,53,8.44,0.095731,39.589207,-106.012085,0.095731,18,60
9141.540039,6,118,7.96,0,56,7.96,0.101167,39.589161,-106.012161,0.101167,19,64
9142.498047,6,119,8.87,0,59,8.87,0.106099,39.589123,-106.012238,0.106099,20,68
9143.033203,6,119,8.4,0,62,8.4,0.111874,39.589077,-106.012329,0.111874,21,71
9142.589844,7,122,8.89,0,65,8.89,0.116753,39.589039,-106.012405,0.116753,22,74
9144.872070,7,122,8.51,0,68,8.51,0.122221,39.589008,-106.012497,0.122221,23,81
9147.029297,8,124,8.65,0,71,8.65,0.127636,39.588982,-106.012589,0.127636,24,84
9150.624023,8,128,8.36,0,74,8.36,0.133278,39.588955,-106.012688,0.133278,25,88
9150.338867,9,128,8.84,0,77,8.84,0.138750,39.588940,-106.012787,0.138750,26,92
9150.900391,9,130,9.01,0,80,9.01,0.144262,39.588928,-106.012886,0.144262,27,94
9152.897461,10,130,8.59,0,83,8.59,0.150221,39.588932,-106.012993,0.150221,28,98
9153.717773,10,132,9.3,0,86,9.3,0.155665,39.588924,-106.013100,0.155665,29,104
9152.031250,11,133,8.04,0,89,8.04,0.161763,39.588951,-106.013199,0.161763,30,108
9151.958984,11,133,8.36,0,92,8.36,0.167590,39.588970,-106.013298,0.167590,31,112
9154.891602,12,134,7.94,0,95,7.94,0.173842,39.588997,-106.013412,0.173842,32,114
9149.642578,12,134,8.65,0,98,8.65,0.179302,39.589027,-106.013504,0.179302,33,118
9148.500977,13,134,8.59,0,101,8.59,0.184725,39.589069,-106.013580,0.184725,34,124
9149.382812,13,136,8.77,0,104,8.77,0.190276,39.589100,-106.013680,0.190276,35,128
9147.819336,14,136,9.56,0,107,9.56,0.195615,39.589077,-106.013771,0.195615,36,132
9147.246094,14,137,8.7,0,110,8.7,0.201217,39.589008,-106.013817,0.201217,37,134
9148.838867,15,137,10.01,0,113,10.01,0.206127,39.588951,-106.013863,0.206127,38,138
9146.423828,15,135,9.93,0,116,9.93,0.211178,39.588879,-106.013893,0.211178,39,142
9149.510742,16,140,9.13,0,119,9.13,0.217318,39.588802,-106.013947,0.217318,40,151
9150.045898,16,140,10.57,0,122,10.57,0.221174,39.588757,-106.013992,0.221174,41,151
9150.645508,17,141,10.62,0,125,10.62,0.225748,39.588699,-106.014030,0.225748,42,154
9152.398438,17,141,10.87,0,128,10.87,0.230410,39.588642,-106.014076,0.230410,43,158
9156.096680,18,144,9.19,0,131,9.19,0.236379,39.588566,-106.014130,0.236379,44,161
9152.544922,19,145,9.07,0,134,9.07,0.241815,39.588501,-106.014191,0.241815,45,164
9150.500000,19,145,9.04,0,137,9.04,0.247062,39.588436,-106.014236,0.247062,46,171
9151.222656,20,143,9.44,0,140,9.44,0.252263,39.588387,-106.014305,0.252263,47,174
9150.548828,20,143,9.13,0,143,9.13,0.258069,39.588333,-106.014389,0.258069,48,178
9147.425781,21,143,9.24,0,146,9.24,0.263393,39.588303,-106.014481,0.263393,49,181
9143.972656,22,146,9.54,0,149,9.54,0.269218,39.588280,-106.014580,0.269218,50,184
9141.854492,22,146,9.26,0,152,9.26,0.274847,39.588261,-106.014679,0.274847,51,191
9146.092773,23,147,8.31,0,155,8.31,0.281095,39.588226,-106.014786,0.281095,52,194
9147.375977,23,147,8.21,0,158,8.21,0.286824,39.588215,-106.014885,0.286824,53,198
9143.773438,24,147,8.28,0,161,8.28,0.292573,39.588226,-106.014984,0.292573,54,200
9139.634766,25,147,9.28,0,164,9.28,0.298024,39.588215,-106.015091,0.298024,55,204
9138.536133,25,147,9.59,0,167,9.59,0.303340,39.588211,-106.015190,0.303340,56,208
9136.949219,26,147,9.12,0,170,9.12,0.308945,39.588215,-106.015289,0.308945,57,214
9135.112305,26,145,8.83,0,173,8.83,0.314665,39.588158,-106.015343,0.314665,58,218
9134.598633,27,145,8.18,0,176,8.18,0.321033,39.588070,-106.015358,0.321033,59,220
9137.567383,28,146,8.47,0,179,8.47,0.326697,39.587990,-106.015388,0.326697,60,224
9137.147461,28,146,8.51,0,182,8.51,0.332870,39.587917,-106.015442,0.332870,61,227
9140.013672,29,145,7.75,0,185,7.75,0.339535,39.587837,-106.015503,0.339535,62,230
9134.316406,29,145,11.52,0,188,11.52,0.343445,39.587791,-106.015472,0.343445,63,237
9138.122070,30,144,10.96,0,191,10.96,0.348195,39.587734,-106.015419,0.348195,64,240
9134.139648,31,145,12,0,194,12,0.351717,39.587696,-106.015381,0.351717,65,244
9137.619141,31,145,12.21,0,197,12.21,0.355830,39.587643,-106.015350,0.355830,66,247
9138.935547,32,144,11.38,0,200,11.38,0.360255,39.587593,-106.015305,0.360255,67,250
9140.832031,32,144,11.91,0,203,11.91,0.364470,39.587540,-106.015266,0.364470,68,254
9139.861328,33,143,10.46,0,206,10.46,0.369406,39.587479,-106.015221,0.369406,69,260
9141.406250,34,145,11.78,0,209,11.78,0.373601,39.587421,-106.015205,0.373601,70,264
9142.888672,34,145,10.58,0,212,10.58,0.377869,39.587357,-106.015198,0.377869,71,267
9139.523438,35,145,10.68,0,215,10.68,0.382720,39.587292,-106.015182,0.382720,72,270
9143.962891,35,145,10.33,0,218,10.33,0.387539,39.587223,-106.015167,0.387539,73,276
9144.958984,36,145,13.12,0,221,13.12,0.391117,39.587173,-106.015152,0.391117,74,280
9145.672852,37,145,12.31,0,224,12.31,0.395308,39.587116,-106.015144,0.395308,75,283
9146.452148,37,145,10.81,0,227,10.81,0.399879,39.587055,-106.015114,0.399879,76,286
9148.477539,38,145,10.42,0,230,10.42,0.404725,39.586994,-106.015068,0.404725,77,290
9149.923828,38,145,12.15,0,233,12.15,0.408712,39.586952,-106.015022,0.408712,78,293
9151.344727,39,145,12.06,0,236,12.06,0.413019,39.586906,-106.014969,0.413019,79,296
9151.238281,40,147,12.39,0,239,12.39,0.416834,39.586868,-106.014923,0.416834,80,306
9151.031250,40,147,12.62,0,242,12.62,0.420777,39.586842,-106.014854,0.420777,81,306
9153.648438,41,148,10.83,0,245,10.83,0.425850,39.586781,-106.014801,0.425850,82,310
9157.366211,41,148,11.46,0,248,11.46,0.430008,39.586735,-106.014748,0.430008,83,312
9157.773438,42,148,12.24,0,251,12.24,0.433933,39.586689,-106.014709,0.433933,84,316
9159.666016,43,150,11.81,0,254,11.81,0.438405,39.586639,-106.014664,0.438405,85,319
9163.964844,43,150,14.92,0,257,14.92,0.441670,39.586594,-106.014641,0.441670,86,326
9164.453125,44,150,11.45,0,260,11.45,0.446490,39.586536,-106.014603,0.446490,87,329
9164.670898,45,150,12.32,0,263,12.32,0.450686,39.586491,-106.014549,0.450686,88,332
9167.776367,45,150,11.95,0,266,11.95,0.455087,39.586437,-106.014503,0.455087,89,336
9170.181641,46,151,11.94,0,269,11.94,0.459019,39.586384,-106.014488,0.459019,90,339
9172.897461,46,151,12.83,0,272,12.83,0.462838,39.586330,-106.014465,0.462838,91,346
9173.943359,47,153,11.62,0,275,11.62,0.467240,39.586269,-106.014450,0.467240,92,349
9173.608398,48,152,11.58,0,278,11.58,0.471628,39.586212,-106.014427,0.471628,93,352
9175.473633,48,152,12.35,0,281,12.35,0.475789,39.586155,-106.014397,0.475789,94,356
9174.671875,49,153,11.71,0,284,11.71,0.480177,39.586098,-106.014374,0.480177,95,358
9175.234375,50,153,12.26,0,287,12.26,0.484370,39.586048,-106.014336,0.484370,96,362
9178.000977,50,153,12.12,0,290,12.12,0.488438,39.585991,-106.014313,0.488438,97,368
9178.748047,51,152,11.02,0,293,11.02,0.493123,39.585922,-106.014313,0.493123,98,372
9177.798828,52,152,11.34,0,296,11.34,0.497243,39.585865,-106.014305,0.497243,99,375
9176.428711,52,153,8.56,0,299,8.56,0.503539,39.585785,-106.014282,0.503539,100,378
9178.028320,53,153,12.73,0,302,12.73,0.507018,39.585747,-106.014282,0.507018,101,382
9176.154297,54,152,12.26,0,305,12.26,0.511034,39.585693,-106.014267,0.511034,102,385
9177.637695,54,151,10.69,0,308,10.69,0.516245,39.585621,-106.014259,0.516245,103,392
9174.358398,55,151,10.23,0,311,10.23,0.521193,39.585556,-106.014290,0.521193,104,395
9177.293945,56,152,10.01,0,314,10.01,0.525549,39.585506,-106.014244,0.525549,105,402
9178.634766,56,152,13.29,0,317,13.29,0.529249,39.585453,-106.014244,0.529249,106,402
9182.388672,57,154,13.08,0,320,13.08,0.533172,39.585407,-106.014214,0.533172,107,405
9185.574219,58,154,13.01,0,323,13.01,0.536885,39.585358,-106.014183,0.536885,108,408
9185.871094,58,154,12.54,0,326,12.54,0.540720,39.585308,-106.014153,0.540720,109,415
9185.758789,59,155,13.28,0,329,13.28,0.544425,39.585258,-106.014130,0.544425,110,418
9188.027344,60,155,14.42,0,332,14.42,0.548066,39.585209,-106.014107,0.548066,111,422
9192.117188,60,153,13.66,0,335,13.66,0.551833,39.585159,-106.014084,0.551833,112,424
9191.809570,61,153,13.72,0,338,13.72,0.555459,39.585110,-106.014069,0.555459,113,428
9196.328125,62,154,13.5,0,341,13.5,0.559275,39.585060,-106.014053,0.559275,114,435
9202.285156,62,156,12.42,0,344,12.42,0.563216,39.585011,-106.014030,0.563216,115,438
9199.657227,63,156,12.99,0,347,12.99,0.566788,39.584972,-106.013992,0.566788,116,440
9201.769531,64,158,12.05,0,350,12.05,0.570803,39.584923,-106.013962,0.570803,117,444
9204.066406,64,158,13.87,0,353,13.87,0.574044,39.584881,-106.013931,0.574044,118,447
9204.086914,65,158,15.52,0,356,15.52,0.577201,39.584843,-106.013908,0.577201,119,450
