Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,250,258.24,-999999,5376,5376,5376,5276.94,5365.78,541.84,ActiveWorkout,10.104,16.3.1,4.81,128,2754,146.48,2753,3448,ios,4.81,210.71,watchos,NO,NO,YES,0,160,210.71,57,30,watchos,gps,919,4.000000,,-1,-1,2023-04-17T19:15:39,132477,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5365.781738,0,57,210.71,0,0,210.71,0.000000,39.748207,-104.838799,0.000000,0,0
5365.781738,0,58,210.71,0,2,210.71,0.000000,39.748207,-104.838799,0.000000,1,0
5369.573730,0,58,26.08,0,5,26.08,0.005051,39.748177,-104.838814,0.005051,2,0
5371.965332,0,58,21.84,0,8,21.84,0.008181,39.748154,-104.838837,0.008181,3,0
5372.647461,0,58,8.38,0,11,8.38,0.014369,39.748150,-104.838951,0.014369,4,0
5375.129883,0,58,7.71,0,14,7.71,0.020926,39.748146,-104.839073,0.020926,5,6
5371.562988,0,63,7.87,0,17,7.87,0.027268,39.748158,-104.839195,0.027268,6,9
5370.808594,0,69,8.3,0,20,8.3,0.033085,39.748165,-104.839302,0.033085,7,12
5371.277832,0,69,9.09,0,23,9.09,0.038682,39.748177,-104.839401,0.038682,8,16
5370.960938,0,69,9.22,0,26,9.22,0.044070,39.748184,-104.839508,0.044070,9,23
5367.201172,1,95,9.4,0,29,9.4,0.049333,39.748222,-104.839554,0.049333,10,26
5370.697754,1,95,7.51,0,32,7.51,0.055772,39.748314,-104.839554,0.055772,11,30
5365.534180,1,97,8.68,0,35,8.68,0.061747,39.748394,-104.839569,0.061747,12,33
5364.336914,1,97,8.65,0,38,8.65,0.067604,39.748478,-104.839554,0.067604,13,36
5363.160645,1,100,8.03,0,41,8.03,0.073904,39.748569,-104.839554,0.073904,14,40
5363.075195,2,100,7.91,0,44,7.91,0.080420,39.748657,-104.839561,0.080420,15,46
5359.729004,2,102,7.99,0,47,7.99,0.086310,39.748741,-104.839561,0.086310,16,50
5361.679199,2,102,8.23,0,50,8.23,0.092883,39.748837,-104.839561,0.092883,17,53
5361.099609,2,105,7.86,0,53,7.86,0.098600,39.748917,-104.839561,0.098600,18,56
5359.344238,3,107,8.18,0,56,8.18,0.104745,39.749004,-104.839569,0.104745,19,60
5364.053223,3,107,7.96,0,59,7.96,0.110779,39.749088,-104.839577,0.110779,20,64
5363.778809,3,108,7.85,0,62,7.85,0.117108,39.749172,-104.839577,0.117108,21,70
5360.956543,4,108,8.8,0,65,8.8,0.122752,39.749233,-104.839645,0.122752,22,74
5365.105957,4,110,8.44,0,68,8.44,0.128275,39.749294,-104.839722,0.128275,23,76
5361.875488,4,114,8.76,0,71,8.76,0.134442,39.749359,-104.839798,0.134442,24,80
5365.623535,5,114,8.08,0,74,8.08,0.140595,39.749382,-104.839905,0.140595,25,84
5365.297852,5,115,8.13,0,77,8.13,0.146747,39.749466,-104.839912,0.146747,26,87
5366.491699,5,117,8.11,0,80,8.11,0.152503,39.749550,-104.839905,0.152503,27,94
5367.761719,6,117,9.49,0,83,9.49,0.157630,39.749622,-104.839897,0.157630,28,97
5366.080078,6,119,7.77,0,86,7.77,0.164256,39.749718,-104.839890,0.164256,29,100
5366.237305,7,119,8.98,0,89,8.98,0.169478,39.749794,-104.839897,0.169478,30,104
5365.318848,7,118,9.2,0,92,9.2,0.174906,39.749870,-104.839890,0.174906,31,107
5360.913574,7,118,8.45,0,95,8.45,0.181235,39.749962,-104.839882,0.181235,32,114
5359.085449,8,122,8.78,0,98,8.78,0.186798,39.750042,-104.839890,0.186798,33,120
5359.107422,8,122,9.78,0,101,9.78,0.192067,39.750118,-104.839874,0.192067,34,120
