Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,213.03,302.05,-999999,5371.81,5371.81,5378.54,5280.49,5373.5,648.66,ActiveWorkout,10.104,16.3.1,4.86,128,2696,62.25,2694,3385,ios,4.86,152.38,watchos,NO,NO,YES,0,178,152.38,65,40,watchos,gps,899,4.000000,,39.74811554,-104.83885956,2023-04-23T16:40:35,145230,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5373.498047,0,65,152.38,0,0,152.38,0.000000,39.748203,-104.838814,0.000000,0,0
5375.323242,0,65,12.63,0,3,12.63,0.006307,39.748192,-104.838905,0.006307,1,0
5372.826660,0,65,9.37,0,6,9.37,0.011476,39.748154,-104.838989,0.011476,2,0
5372.026855,0,65,8.04,0,9,8.04,0.017468,39.748154,-104.839096,0.017468,3,8
5370.901855,0,65,7.85,0,12,7.85,0.024356,39.748154,-104.839226,0.024356,4,14
5370.399414,0,65,8.03,0,15,8.03,0.030130,39.748177,-104.839333,0.030130,5,18
5372.254395,0,65,9.31,0,18,9.31,0.035162,39.748180,-104.839424,0.035162,6,22
5370.503418,0,65,8.27,0,21,8.27,0.041134,39.748192,-104.839531,0.041134,7,24
5375.255371,0,65,6.35,0,24,6.35,0.049432,39.748295,-104.839584,0.049432,8,28
5376.060547,0,65,7.76,0,27,7.76,0.055456,39.748379,-104.839569,0.055456,9,32
5374.471680,1,65,7.48,0,30,7.48,0.062355,39.748474,-104.839577,0.062355,10,38
5375.764160,1,65,8.44,0,33,8.44,0.068124,39.748554,-104.839584,0.068124,11,42
5375.179199,1,65,7.89,0,36,7.89,0.074874,39.748653,-104.839577,0.074874,12,45
5376.056641,1,111,8.55,0,39,8.55,0.080837,39.748737,-104.839577,0.080837,13,48
5375.490723,1,111,7.88,0,42,7.88,0.087150,39.748829,-104.839577,0.087150,14,52
5372.249023,2,114,7.64,0,45,7.64,0.093377,39.748920,-104.839561,0.093377,15,58
5371.510742,2,116,8.22,0,48,8.22,0.099315,39.749004,-104.839569,0.099315,16,62
5375.242188,2,116,9.44,0,51,9.44,0.104779,39.749084,-104.839569,0.104779,17,65
5377.205078,3,116,10.04,0,54,10.04,0.109396,39.749146,-104.839569,0.109396,18,69
5374.352051,3,116,9.15,0,57,9.15,0.116679,39.749241,-104.839592,0.116679,19,72
5375.258301,3,117,8.58,0,60,8.58,0.120458,39.749279,-104.839645,0.120458,20,76
5378.055664,4,117,7.39,0,63,7.39,0.127474,39.749336,-104.839745,0.127474,21,82
5377.104004,4,117,8.44,0,66,8.44,0.132417,39.749374,-104.839821,0.132417,22,86
