Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,239,251.17,-999999,5367.83,5367.83,5372.6,5277.77,5344.3,601.26,ActiveWorkout,10.104,16.4.1,4.83,128,2652,84.97,2651,3392,ios,4.83,910.94,watchos,NO,NO,YES,0,175,910.94,61,33,watchos,gps,885,4.000000,,-1,-1,2023-05-06T17:48:46,138076,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5344.299805,0,62,236.9,0,0,236.9,0.000000,39.748192,-104.838783,0.000000,0,0
5344.299805,0,62,236.9,0,2,236.9,0.000000,39.748192,-104.838783,0.000000,1,0
5342.056152,0,62,910.94,0,5,910.94,0.000805,39.748184,-104.838776,0.000805,2,0
5337.058594,0,61,9.47,0,8,9.47,0.007769,39.748173,-104.838905,0.007769,3,0
5338.128418,0,62,7.89,0,11,7.89,0.013713,39.748169,-104.839020,0.013713,4,5
5338.385254,0,62,8.3,0,14,8.3,0.019709,39.748180,-104.839127,0.019709,5,8
5372.604492,0,68,6.23,0,17,6.23,0.028321,39.748173,-104.839279,0.028321,6,12
5372.510742,0,68,10.29,0,20,10.29,0.033013,39.748180,-104.839371,0.033013,7,15
5370.900879,0,75,9.25,0,23,9.25,0.038512,39.748188,-104.839470,0.038512,8,22
5371.219238,0,92,9.07,0,26,9.07,0.043784,39.748215,-104.839554,0.043784,9,25
5370.312500,1,92,8.23,0,29,8.23,0.049647,39.748299,-104.839546,0.049647,10,28
5370.466309,1,93,8.62,0,32,8.62,0.055627,39.748383,-104.839561,0.055627,11,32
5368.675293,1,93,8.79,0,35,8.79,0.061259,39.748466,-104.839554,0.061259,12,36
5369.840820,1,100,10.02,0,38,10.02,0.066217,39.748535,-104.839561,0.066217,13,42
5367.183105,2,104,8.64,0,41,8.64,0.072005,39.748619,-104.839577,0.072005,14,46
5365.600586,2,104,9.8,0,44,9.8,0.077007,39.748688,-104.839569,0.077007,15,49
5364.881348,2,105,9.1,0,47,9.1,0.082644,39.748768,-104.839569,0.082644,16,52
5363.227051,3,105,8.67,0,50,8.67,0.088406,39.748852,-104.839569,0.088406,17,56
5366.652344,3,108,9.47,0,53,9.47,0.093653,39.748928,-104.839569,0.093653,18,59
5369.552734,3,108,9.03,0,56,9.03,0.099739,39.749012,-104.839592,0.099739,19,66
5365.505859,3,108,9,0,59,9,0.105278,39.749088,-104.839592,0.105278,20,68
5367.794434,4,111,9.51,0,62,9.51,0.110484,39.749161,-104.839577,0.110484,21,72
5363.617188,4,111,9.2,0,65,9.2,0.116295,39.749214,-104.839645,0.116295,22,76
5365.668457,4,114,9.07,0,68,9.07,0.121752,39.749279,-104.839699,0.121752,23,78
5365.253418,5,114,8.11,0,71,8.11,0.127933,39.749340,-104.839775,0.127933,24,82
5365.226562,5,115,8.81,0,74,8.81,0.133385,39.749371,-104.839867,0.133385,25,89
5368.428223,6,115,7.51,0,77,7.51,0.140191,39.749451,-104.839912,0.140191,26,92
5364.808594,6,115,7.94,0,80,7.94,0.145707,39.749531,-104.839905,0.145707,27,96
5363.169922,6,113,9.44,0,83,9.44,0.150747,39.749599,-104.839897,0.150747,28,99
5362.206543,7,113,9.02,0,86,9.02,0.156423,39.749683,-104.839897,0.156423,29,102
5360.600586,7,116,9.03,0,89,9.03,0.161921,39.749763,-104.839890,0.161921,30,108
5360.297852,7,127,9.43,0,92,9.43,0.167093,39.749836,-104.839882,0.167093,31,112
5361.754883,8,127,9.21,0,95,9.21,0.172886,39.749920,-104.839890,0.172886,32,116
