Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,461.77,453.32,-999999,9134.44,9134.44,9434.83,9118.02,9146.86,531.01,ActiveWorkout,10.104,16.5,4.18,128,2464,103,2462,3186,ios,4.18,2653.03,watchos,NO,NO,YES,0,167,2653.03,67,27,watchos,gps,822,4.000000,,-1,-1,2023-06-20T16:36:01,124676,0,15

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
9146.863281,0,71,107.09,0,0,107.09,0.000000,39.589691,-106.013351,0.000000,0,0
9146.863281,0,74,107.09,0,2,107.09,0.000000,39.589691,-106.013351,0.000000,1,0
9142.833984,0,67,107.09,0,5,107.09,0.000000,39.589691,-106.013359,0.000000,2,0
9140.881836,0,67,2653.03,0,8,2653.03,0.000402,39.589695,-106.013359,0.000402,3,0
9141.171875,0,67,18.81,0,11,18.81,0.004229,39.589733,-106.013313,0.004229,4,0
9140.648438,0,67,8.21,0,14,8.21,0.010194,39.589764,-106.013214,0.010194,5,4
9141.050781,0,68,8.13,0,17,8.13,0.016446,39.589706,-106.013123,0.016446,6,7
9141.445312,0,68,8.76,0,20,8.76,0.022068,39.589664,-106.013039,0.022068,7,11
9142.686523,0,80,9.39,0,23,9.39,0.027523,39.589649,-106.012939,0.027523,8,14
9140.664062,0,96,8.65,0,26,8.65,0.033560,39.589622,-106.012833,0.033560,9,18
9142.456055,1,96,8.02,0,29,8.02,0.039553,39.589592,-106.012733,0.039553,10,24
