Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,482.74,494.82,-999999,9145.42,9145.42,9436.52,9125.07,9140.83,472.37,ActiveWorkout,10.104,16.5,4.16,128,2656,165.73,2656,3208,ios,4.16,432.82,watchos,NO,NO,YES,0,154,432.82,61,35,watchos,gps,885,4.000000,,-1,-1,2023-06-21T18:01:49,121045,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
9141.499023,0,65,74.24,0,0,74.24,0.000000,39.589714,-106.013344,0.000000,0,0
9140.829102,0,65,432.82,0,1,432.82,0.000205,39.589725,-106.013336,0.000205,1,0
9137.994141,0,63,75.43,0,4,75.43,0.000935,39.589733,-106.013329,0.000935,2,0
9138.105469,0,63,19.99,0,7,19.99,0.005455,39.589775,-106.013268,0.005455,3,0
9135.584961,0,61,7.45,0,10,7.45,0.011661,39.589767,-106.013153,0.011661,4,3
9134.620117,0,61,8.75,0,13,8.75,0.017040,39.589706,-106.013092,0.017040,5,6
9138.478516,0,61,8.52,0,16,8.52,0.022986,39.589657,-106.013008,0.022986,6,10
9137.811523,0,64,8.51,0,19,8.51,0.028788,39.589603,-106.012924,0.028788,7,14
9140.220703,0,64,10.42,0,22,10.42,0.033144,39.589603,-106.012840,0.033144,8,17
9139.054688,0,68,10.67,0,25,10.67,0.038040,39.589577,-106.012756,0.038040,9,20
9141.455078,1,68,8.39,0,28,8.39,0.044295,39.589558,-106.012672,0.044295,10,28
9145.871094,1,68,8.26,0,31,8.26,0.049546,39.589542,-106.012573,0.049546,11,30
9140.900391,1,95,9.4,0,34,9.4,0.055126,39.589512,-106.012474,0.055126,12,34
9146.374023,1,95,8.3,0,37,8.3,0.061244,39.589474,-106.012375,0.061244,13,38
9144.668945,1,98,8.59,0,40,8.59,0.066683,39.589432,-106.012291,0.066683,14,41
9139.725586,1,98,9.61,0,43,9.61,0.072097,39.589397,-106.012207,0.072097,15,48
9143.927734,2,103,8.61,0,46,8.61,0.078189,39.589336,-106.012131,0.078189,16,51
9142.970703,2,107,10.25,0,49,10.25,0.082258,39.589287,-106.012093,0.082258,17,54
9143.751953,2,107,8.72,0,52,8.72,0.088932,39.589203,-106.012032,0.088932,18,58
9146.366211,2,107,6.41,0,55,6.41,0.096617,39.589111,-106.012115,0.096617,19,62
9151.000977,3,107,9.32,0,58,9.32,0.102425,39.589039,-106.012161,0.102425,20,65
9154.098633,3,111,11.08,0,61,11.08,0.106181,39.588997,-106.012207,0.106181,21,72
9150.133789,3,113,10.42,0,64,10.42,0.111460,39.588970,-106.012299,0.111460,22,76
9146.649414,4,113,9.19,0,67,9.19,0.116697,39.588947,-106.012390,0.116697,23,78
9143.439453,4,116,8.99,0,70,8.99,0.122477,39.588905,-106.012489,0.122477,24,82
9149.624023,5,116,9.81,0,73,9.81,0.127011,39.588886,-106.012566,0.127011,25,86
9147.179688,5,121,9.81,0,76,9.81,0.132109,39.588882,-106.012665,0.132109,26,89
9151.000000,5,120,9.21,0,79,9.21,0.137832,39.588863,-106.012764,0.137832,27,96
9150.681641,6,120,9.03,0,82,9.03,0.142948,39.588840,-106.012856,0.142948,28,99
9148.544922,6,122,8.7,0,85,8.7,0.148815,39.588852,-106.012962,0.148815,29,102
9152.905273,7,122,8.6,0,88,8.6,0.154573,39.588867,-106.013069,0.154573,30,109
9149.671875,7,122,9.07,0,91,9.07,0.160180,39.588871,-106.013176,0.160180,31,109
9151.971680,8,121,8.94,0,94,8.94,0.165671,39.588871,-106.013275,0.165671,32,112
9154.025391,8,121,9.31,0,97,9.31,0.170898,39.588852,-106.013367,0.170898,33,119
9148.490234,8,124,8.2,0,100,8.2,0.177236,39.588902,-106.013466,0.177236,34,122
9144.219727,9,124,7.87,0,103,7.87,0.183174,39.588867,-106.013565,0.183174,35,126
9148.169922,9,124,8.34,0,106,8.34,0.189176,39.588837,-106.013672,0.189176,36,129
9148.835938,10,128,9.28,0,109,9.28,0.194319,39.588821,-106.013763,0.194319,37,132
9151.707031,10,128,9.1,0,112,9.1,0.200055,39.588764,-106.013832,0.200055,38,139
9156.710938,11,127,9.29,0,115,9.29,0.204885,39.588707,-106.013885,0.204885,39,142
9150.517578,11,127,10.33,0,118,10.33,0.210275,39.588646,-106.013939,0.210275,40,146
9154.937500,12,128,9.37,0,121,9.37,0.215601,39.588577,-106.013977,0.215601,41,149
9153.434570,12,129,10.16,0,124,10.16,0.220921,39.588512,-106.014030,0.220921,42,152
9153.188477,12,129,8.58,0,127,8.58,0.226974,39.588444,-106.014099,0.226974,43,156
9151.183594,13,129,9.16,0,130,9.16,0.232220,39.588390,-106.014160,0.232220,44,162
9149.109375,13,129,10.11,0,133,10.11,0.237237,39.588322,-106.014183,0.237237,45,166
9152.013672,14,128,8.96,0,136,8.96,0.243131,39.588268,-106.014259,0.243131,46,169
9152.846680,14,129,9.76,0,139,9.76,0.247927,39.588249,-106.014343,0.247927,47,172
9149.803711,15,129,9.58,0,142,9.58,0.253413,39.588219,-106.014435,0.253413,48,176
9148.615234,15,129,9.06,0,145,9.06,0.258536,39.588192,-106.014526,0.258536,49,179
9150.056641,16,129,8.01,0,148,8.01,0.265179,39.588177,-106.014648,0.265179,50,186
9144.379883,16,130,7.48,0,151,7.48,0.271042,39.588158,-106.014732,0.271042,51,189
9145.366211,17,129,8.58,0,154,8.58,0.277092,39.588150,-106.014839,0.277092,52,192
9147.735352,17,129,6.91,0,157,6.91,0.284688,39.588169,-106.014923,0.284688,53,196
9141.445312,18,129,6.68,0,160,6.68,0.291617,39.588127,-106.015038,0.291617,54,198
9136.414062,18,129,7.79,0,163,7.79,0.297620,39.588142,-106.015144,0.297620,55,205
9134.364258,19,128,9.36,0,166,9.36,0.303017,39.588131,-106.015244,0.303017,56,208
9128.160156,19,128,9.05,0,169,9.05,0.308407,39.588100,-106.015335,0.308407,57,212
9136.068359,20,128,8.04,0,172,8.04,0.316268,39.588005,-106.015404,0.316268,58,215
9134.396484,20,128,10.29,0,175,10.29,0.320182,39.587952,-106.015427,0.320182,59,218
9136.341797,21,128,8.95,0,178,8.95,0.326572,39.587875,-106.015480,0.326572,60,222
9135.808594,21,128,11.31,0,181,11.31,0.330871,39.587818,-106.015511,0.330871,61,228
9136.788086,21,126,9.22,0,184,9.22,0.336579,39.587746,-106.015465,0.336579,62,235
9135.125977,22,126,9.61,0,187,9.61,0.342141,39.587688,-106.015396,0.342141,63,235
9136.733398,22,129,10.2,0,190,10.2,0.347244,39.587620,-106.015358,0.347244,64,238
9133.479492,23,129,9.81,0,193,9.81,0.352025,39.587559,-106.015320,0.352025,65,242
9135.987305,23,130,10.55,0,196,10.55,0.357469,39.587502,-106.015259,0.357469,66,245
9135.566406,24,130,9.31,0,199,9.31,0.362581,39.587433,-106.015236,0.362581,67,252
9137.989258,24,130,11.27,0,202,11.27,0.366912,39.587376,-106.015205,0.366912,68,255
9139.998047,25,130,9.13,0,205,9.13,0.372662,39.587296,-106.015190,0.372662,69,258
9139.928711,25,130,9.92,0,208,9.92,0.377277,39.587231,-106.015198,0.377277,70,265
9143.801758,26,132,10.99,0,211,10.99,0.381605,39.587170,-106.015175,0.381605,71,265
9144.110352,26,133,9.72,0,214,9.72,0.387038,39.587093,-106.015152,0.387038,72,272
9139.795898,27,133,10.22,0,217,10.22,0.391835,39.587029,-106.015137,0.391835,73,275
9142.666016,27,133,9.53,0,220,9.53,0.397136,39.586964,-106.015091,0.397136,74,278
9147.177734,28,133,11.02,0,223,11.02,0.401622,39.586918,-106.015030,0.401622,75,282
9149.335938,28,136,10.77,0,226,10.77,0.406534,39.586864,-106.014969,0.406534,76,286
9153.724609,29,135,10.13,0,229,10.13,0.411303,39.586834,-106.014893,0.411303,77,288
9155.036133,29,135,10.3,0,232,10.3,0.415915,39.586788,-106.014824,0.415915,78,296
9155.446289,30,138,10.22,0,235,10.22,0.420702,39.586723,-106.014809,0.420702,79,299
9158.466797,30,138,9.31,0,238,9.31,0.426323,39.586670,-106.014732,0.426323,80,302
9161.893555,31,139,9.64,0,241,9.64,0.430954,39.586628,-106.014671,0.430954,81,306
9163.449219,32,138,9.1,0,244,9.1,0.436369,39.586552,-106.014641,0.436369,82,309
9162.075195,32,138,9.74,0,247,9.74,0.440964,39.586491,-106.014618,0.440964,83,312
9155.041992,33,140,10.05,0,250,10.05,0.446076,39.586475,-106.014534,0.446076,84,319
9158.984375,33,140,7.9,0,253,7.9,0.452782,39.586380,-106.014519,0.452782,85,322
9168.589844,34,139,11.43,0,256,11.43,0.457025,39.586323,-106.014496,0.457025,86,326
9168.453125,34,138,10.85,0,259,10.85,0.461868,39.586254,-106.014481,0.461868,87,329
9166.085938,35,138,10.14,0,262,10.14,0.466894,39.586182,-106.014473,0.466894,88,332
9165.796875,35,138,10.31,0,265,10.31,0.471934,39.586121,-106.014420,0.471934,89,336
9168.333008,36,138,10.51,0,268,10.51,0.476789,39.586060,-106.014381,0.476789,90,342
9169.136719,36,139,10.22,0,271,10.22,0.481764,39.585991,-106.014359,0.481764,91,346
9170.611328,37,139,9.63,0,274,9.63,0.486943,39.585918,-106.014366,0.486943,92,350
9171.387695,38,139,10.07,0,277,10.07,0.492074,39.585850,-106.014343,0.492074,93,353
9173.364258,38,139,10.28,0,280,10.28,0.496857,39.585785,-106.014320,0.496857,94,356
9171.946289,39,139,10.17,0,283,10.17,0.501610,39.585716,-106.014320,0.501610,95,363
9174.101562,39,137,10.82,0,286,10.82,0.506332,39.585651,-106.014297,0.506332,96,366
9175.253906,40,136,9.56,0,289,9.56,0.511476,39.585583,-106.014290,0.511476,97,370
9177.119141,40,136,9.39,0,292,9.39,0.516784,39.585510,-106.014305,0.516784,98,373
9179.000000,41,136,10.68,0,295,10.68,0.521366,39.585457,-106.014267,0.521366,99,376
9184.758789,41,136,11.29,0,298,11.29,0.525929,39.585419,-106.014206,0.525929,100,380
9189.109375,42,137,10.33,0,301,10.33,0.530681,39.585358,-106.014183,0.530681,101,386
9192.694336,42,138,8.68,0,304,8.68,0.537205,39.585270,-106.014153,0.537205,102,394
9198.057617,43,138,11.27,0,307,11.27,0.539872,39.585247,-106.014130,0.539872,103,394
9194.335938,43,138,13.17,0,310,13.17,0.544214,39.585182,-106.014114,0.544214,104,397
9190.422852,44,138,11.76,0,313,11.76,0.548679,39.585121,-106.014114,0.548679,105,400
9193.407227,45,140,12.03,0,316,12.03,0.552933,39.585064,-106.014084,0.552933,106,404
9191.659180,45,141,12.39,0,319,12.39,0.556911,39.585007,-106.014069,0.556911,107,410
9193.553711,46,141,12.42,0,322,12.42,0.560949,39.584957,-106.014038,0.560949,108,414
9199.875977,46,141,12,0,325,12,0.565142,39.584908,-106.013992,0.565142,109,417
9199.756836,47,141,12.17,0,328,12.17,0.569342,39.584854,-106.013954,0.569342,110,420
9198.394531,47,143,10.36,0,331,10.36,0.573924,39.584789,-106.013931,0.573924,111,424
9202.410156,48,143,11.84,0,334,11.84,0.578206,39.584740,-106.013885,0.578206,112,430
9204.363281,49,143,11.05,0,337,11.05,0.582505,39.584679,-106.013870,0.582505,113,434
9206.059570,49,143,9.11,0,340,9.11,0.588210,39.584606,-106.013817,0.588210,114,438
9204.918945,50,143,10.06,0,343,10.06,0.592999,39.584549,-106.013794,0.592999,115,440
9209.997070,50,144,9.69,0,346,9.69,0.597957,39.584480,-106.013771,0.597957,116,444
9215.389648,51,147,10.64,0,349,10.64,0.602849,39.584423,-106.013725,0.602849,117,448
9219.352539,52,147,7.25,0,352,7.25,0.609530,39.584328,-106.013702,0.609530,118,454
9217.521484,52,147,8.74,0,355,8.74,0.614365,39.584259,-106.013702,0.614365,119,458
9228.678711,53,147,10.29,0,358,10.29,0.619463,39.584206,-106.013664,0.619463,120,462
9228.597656,53,147,11.61,0,361,11.61,0.623487,39.584156,-106.013634,0.623487,121,464
9229.673828,54,148,12.24,0,364,12.24,0.627749,39.584095,-106.013611,0.627749,122,468
9230.166016,55,148,12.45,0,367,12.45,0.631481,39.584045,-106.013588,0.631481,123,472
9232.110352,55,148,17.27,0,370,17.27,0.634216,39.584015,-106.013557,0.634216,124,478
9233.040039,56,148,18.6,0,373,18.6,0.636898,39.583981,-106.013535,0.636898,125,480
9233.944336,56,148,19.8,0,376,19.8,0.639374,39.583946,-106.013527,0.639374,126,481
9233.790039,57,147,17.99,0,379,17.99,0.642527,39.583904,-106.013504,0.642527,127,484
9237.895508,58,147,9.16,0,382,9.16,0.648260,39.583832,-106.013474,0.648260,128,486
9241.492188,58,147,14.11,0,385,14.11,0.651212,39.583797,-106.013435,0.651212,129,488
9239.155273,59,147,13.4,0,388,13.4,0.655025,39.583763,-106.013397,0.655025,130,494
9240.667969,59,146,14.26,0,391,14.26,0.658736,39.583717,-106.013359,0.658736,131,497
9244.277344,60,147,11.62,0,394,11.62,0.663255,39.583660,-106.013321,0.663255,132,500
9247.357422,61,147,11.83,0,397,11.83,0.667487,39.583607,-106.013283,0.667487,133,504
9245.711914,61,147,11.81,0,400,11.81,0.671614,39.583553,-106.013252,0.671614,134,507
9246.404297,62,147,12.32,0,403,12.32,0.675765,39.583500,-106.013214,0.675765,135,514
9252.475586,63,148,12.52,0,406,12.52,0.679807,39.583450,-106.013184,0.679807,136,517
9252.677734,63,148,11.52,0,409,11.52,0.684154,39.583389,-106.013168,0.684154,137,520
9253.901367,64,148,10.36,0,412,10.36,0.689001,39.583321,-106.013138,0.689001,138,524
9255.565430,64,149,10.83,0,415,10.83,0.693372,39.583263,-106.013100,0.693372,139,527
9258.266602,65,149,11.63,0,418,11.63,0.697462,39.583214,-106.013062,0.697462,140,530
9256.670898,66,149,15.71,0,421,15.71,0.700549,39.583176,-106.013039,0.700549,141,538
9256.715820,66,149,16.46,0,424,16.46,0.703560,39.583141,-106.013008,0.703560,142,542
9260.953125,67,149,17.39,0,427,17.39,0.706364,39.583115,-106.012970,0.706364,143,542
9262.094727,68,149,19.77,0,430,19.77,0.709045,39.583088,-106.012932,0.709045,144,545
9261.239258,68,149,20.51,0,433,20.51,0.711740,39.583057,-106.012901,0.711740,145,548
9261.232422,69,147,17.43,0,436,17.43,0.714512,39.583031,-106.012863,0.714512,146,550
9261.951172,69,144,18.88,0,439,18.88,0.717350,39.583000,-106.012825,0.717350,147,554
9262.924805,70,144,17.27,0,442,17.27,0.720255,39.582966,-106.012802,0.720255,148,556
9263.129883,71,142,19.61,0,445,19.61,0.722750,39.582939,-106.012772,0.722750,149,559
9263.180664,71,142,13.34,0,448,13.34,0.726722,39.582882,-106.012756,0.726722,150,562
9265.335938,72,141,11.32,0,451,11.32,0.731109,39.582829,-106.012711,0.731109,151,564
9262.205078,72,139,8.44,0,454,8.44,0.737516,39.582741,-106.012672,0.737516,152,572
9266.498047,73,139,8.27,0,457,8.27,0.742317,39.582676,-106.012657,0.742317,153,574
9265.261719,73,139,10.83,0,460,10.83,0.746867,39.582615,-106.012634,0.746867,154,578
9269.240234,74,139,11.62,0,463,11.62,0.751405,39.582558,-106.012596,0.751405,155,582
