Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,302.57,476.59,-999999,9151.38,9151.38,9435.2,9133.67,9156.78,503.83,ActiveWorkout,10.104,16.5.1,4.16,128,2389,103.3,2389,3068,ios,4.16,540431955284459500,watchos,NO,NO,YES,0,167,5.404319552844595e+17,61,33,watchos,gps,796,4.000000,,-1,-1,2023-06-23T18:13:56,119313,0,136

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
9156.778320,0,61,540431955284459500,0,0,540431955284459500,0.000000,39.589672,-106.013412,0.000000,0,0
9156.778320,0,61,540431955284459500,0,2,540431955284459500,0.000000,39.589672,-106.013412,0.000000,1,0
9146.739258,0,61,34.13,0,5,34.13,0.007577,39.589756,-106.013321,0.007577,2,0
9143.374023,0,63,7.68,0,8,7.68,0.014776,39.589806,-106.013206,0.014776,3,0
9142.156250,0,63,7.96,0,11,7.96,0.021045,39.589752,-106.013107,0.021045,4,3
9142.094727,0,63,6.93,0,14,6.93,0.028410,39.589676,-106.013031,0.028410,5,10
9141.105469,0,69,6.81,0,17,6.81,0.036280,39.589638,-106.012924,0.036280,6,14
9144.095703,0,69,9.68,0,20,9.68,0.041509,39.589622,-106.012833,0.041509,7,17
9144.524414,0,89,9.2,0,23,9.2,0.047199,39.589592,-106.012733,0.047199,8,20
9144.817383,1,92,8.18,0,26,8.18,0.053376,39.589573,-106.012619,0.053376,9,24
9143.405273,1,92,9.24,0,29,9.24,0.059018,39.589542,-106.012520,0.059018,10,28
9142.011719,1,95,8.99,0,32,8.99,0.064556,39.589508,-106.012428,0.064556,11,34
9140.364258,1,95,9.2,0,35,9.2,0.070031,39.589478,-106.012337,0.070031,12,38
9140.071289,1,95,8.96,0,38,8.96,0.075577,39.589428,-106.012253,0.075577,13,41
9141.294922,2,96,9.09,0,41,9.09,0.080799,39.589378,-106.012184,0.080799,14,44
9138.303711,2,96,9.46,0,44,9.46,0.086723,39.589314,-106.012108,0.086723,15,48
9142.573242,2,106,7.79,0,47,7.79,0.093969,39.589237,-106.012070,0.093969,16,52
9143.723633,2,106,6.87,0,50,6.87,0.100523,39.589146,-106.012062,0.100523,17,58
9150.045898,3,108,14.04,0,53,14.04,0.104491,39.589108,-106.012123,0.104491,18,62
9152.700195,3,110,10.42,0,56,10.42,0.108928,39.589058,-106.012169,0.108928,19,66
9158.583008,3,110,10.82,0,59,10.82,0.113512,39.589008,-106.012222,0.113512,20,68
9163.237305,4,112,9.1,0,62,9.1,0.119076,39.588989,-106.012321,0.119076,21,72
9158.129883,4,116,10.18,0,65,10.18,0.124638,39.588955,-106.012413,0.124638,22,79
9161.077148,5,116,9.1,0,68,9.1,0.130592,39.588913,-106.012505,0.130592,23,82
9162.280273,5,119,9.71,0,71,9.71,0.135336,39.588898,-106.012589,0.135336,24,86
9160.065430,5,119,9.23,0,74,9.23,0.141172,39.588890,-106.012695,0.141172,25,89
9160.086914,6,120,7.92,0,77,7.92,0.147589,39.588860,-106.012810,0.147589,26,92
9159.000000,6,120,8.71,0,80,8.71,0.152616,39.588848,-106.012901,0.152616,27,96
9158.515625,7,126,8.79,0,83,8.79,0.158418,39.588856,-106.013008,0.158418,28,102
9158.725586,7,127,8.22,0,86,8.22,0.164637,39.588852,-106.013123,0.164637,29,106
9154.747070,8,127,8.55,0,89,8.55,0.170462,39.588886,-106.013222,0.170462,30,110
9157.775391,8,129,9.27,0,92,9.27,0.175910,39.588867,-106.013321,0.175910,31,112
9158.691406,8,129,9.4,0,95,9.4,0.181254,39.588875,-106.013412,0.181254,32,116
9155.675781,9,129,7.94,0,98,7.94,0.187824,39.588909,-106.013527,0.187824,33,120
9155.780273,9,129,7.64,0,101,7.64,0.194392,39.588860,-106.013618,0.194392,34,126
9157.461914,10,129,8.9,0,104,8.9,0.200224,39.588833,-106.013725,0.200224,35,130
9159.170898,10,129,10.62,0,107,10.62,0.204490,39.588821,-106.013802,0.204490,36,133
9154.736328,11,129,9.86,0,110,9.86,0.209605,39.588757,-106.013847,0.209605,37,136
9166.888672,11,130,8.55,0,113,8.55,0.215593,39.588703,-106.013931,0.215593,38,140
9167.923828,12,131,7.66,0,116,7.66,0.221822,39.588627,-106.013977,0.221822,39,146
9161.408203,12,131,11.92,0,119,11.92,0.225598,39.588577,-106.014008,0.225598,40,150
9163.869141,13,131,11.74,0,122,11.74,0.230415,39.588520,-106.014061,0.230415,41,153
9156.656250,13,131,9.37,0,125,9.37,0.235692,39.588467,-106.014130,0.235692,42,156
9157.263672,14,130,9.05,0,128,9.05,0.241357,39.588402,-106.014191,0.241357,43,160
9155.514648,14,130,10.53,0,131,10.53,0.246077,39.588337,-106.014221,0.246077,44,163
9153.119141,15,130,10.35,0,134,10.35,0.250937,39.588299,-106.014290,0.250937,45,170
9157.511719,15,131,9.48,0,137,9.48,0.256285,39.588264,-106.014381,0.256285,46,174
9157.743164,16,131,9.89,0,140,9.89,0.261533,39.588238,-106.014473,0.261533,47,176
9159.135742,16,131,9.64,0,143,9.64,0.266856,39.588203,-106.014557,0.266856,48,180
9157.510742,17,131,9.57,0,146,9.57,0.272194,39.588188,-106.014656,0.272194,49,183
9155.158203,17,131,9.09,0,149,9.09,0.277868,39.588181,-106.014763,0.277868,50,186
9152.391602,18,133,8.78,0,152,8.78,0.283576,39.588181,-106.014870,0.283576,51,193
9151.322266,18,132,8.91,0,155,8.91,0.289353,39.588165,-106.014969,0.289353,52,196
9148.020508,19,132,9.14,0,158,9.14,0.294831,39.588154,-106.015076,0.294831,53,200
9145.862305,19,131,8.72,0,161,8.72,0.300549,39.588139,-106.015175,0.300549,54,203
9147.031250,20,131,9.46,0,164,9.46,0.305664,39.588146,-106.015274,0.305664,55,206
9145.353516,20,129,9.27,0,167,9.27,0.310937,39.588104,-106.015343,0.310937,56,212
9143.998047,21,129,8.09,0,170,8.09,0.317086,39.588024,-106.015396,0.317086,57,216
9141.777344,21,130,9.27,0,173,9.27,0.322721,39.587952,-106.015434,0.322721,58,220
9140.641602,22,130,8.81,0,176,8.81,0.328283,39.587887,-106.015495,0.328283,59,222
9141.818359,22,130,10.58,0,179,10.58,0.332856,39.587833,-106.015541,0.332856,60,226
9139.742188,23,129,12.16,0,182,12.16,0.336769,39.587788,-106.015526,0.336769,61,229
9142.938477,23,129,10.53,0,185,10.53,0.341830,39.587738,-106.015457,0.341830,62,236
9143.116211,23,129,9.36,0,188,9.36,0.348051,39.587666,-106.015388,0.348051,63,239
9144.209961,24,128,9.6,0,191,9.6,0.353000,39.587597,-106.015350,0.353000,64,242
9140.172852,24,128,9.75,0,194,9.75,0.357914,39.587551,-106.015282,0.357914,65,246
9142.435547,25,127,9.92,0,197,9.92,0.362836,39.587486,-106.015259,0.362836,66,249
9143.808594,25,127,10.11,0,200,10.11,0.367865,39.587418,-106.015221,0.367865,67,252
9144.847656,26,129,10.03,0,203,10.03,0.372871,39.587353,-106.015198,0.372871,68,259
9146.033203,26,129,9.99,0,206,9.99,0.377861,39.587280,-106.015198,0.377861,69,262
9146.254883,27,129,10.46,0,209,10.46,0.382597,39.587215,-106.015198,0.382597,70,266
9148.734375,27,129,9.77,0,212,9.77,0.388146,39.587151,-106.015221,0.388146,71,269
9147.795898,28,129,7.6,0,215,7.6,0.394601,39.587078,-106.015160,0.394601,72,272
9152.000977,28,129,9.88,0,218,9.88,0.399546,39.587013,-106.015121,0.399546,73,276
9150.683594,29,129,9.93,0,221,9.93,0.404588,39.586956,-106.015060,0.404588,74,282
9155.196289,29,129,10.86,0,224,10.86,0.408942,39.586906,-106.015015,0.408942,75,286
9155.268555,30,132,10.61,0,227,10.61,0.413667,39.586864,-106.014946,0.413667,76,289
9157.199219,30,132,11.06,0,230,11.06,0.418453,39.586834,-106.014870,0.418453,77,292
9158.955078,31,134,10.01,0,233,10.01,0.423279,39.586773,-106.014824,0.423279,78,296
9164.999023,31,135,10.39,0,236,10.39,0.427695,39.586712,-106.014801,0.427695,79,302
9166.235352,32,135,10.45,0,239,10.45,0.432699,39.586670,-106.014725,0.432699,80,306
9164.639648,32,136,11.58,0,242,11.58,0.437018,39.586624,-106.014671,0.437018,81,310
9165.803711,33,136,10.63,0,245,10.63,0.441785,39.586559,-106.014648,0.441785,82,312
9170.528320,33,136,10.42,0,248,10.42,0.446278,39.586498,-106.014626,0.446278,83,316
9169.786133,34,138,10.28,0,251,10.28,0.451238,39.586441,-106.014565,0.451238,84,320
9170.661133,34,138,11.2,0,254,11.2,0.455512,39.586388,-106.014526,0.455512,85,326
9174.264648,35,139,11.23,0,257,11.23,0.459937,39.586327,-106.014496,0.459937,86,330
9174.910156,35,139,10.98,0,260,10.98,0.464911,39.586258,-106.014503,0.464911,87,333
9172.982422,36,140,11.07,0,263,11.07,0.469303,39.586197,-106.014481,0.469303,88,336
9176.433594,37,140,10.55,0,266,10.55,0.474154,39.586143,-106.014427,0.474154,89,343
9178.042969,37,140,11.03,0,269,11.03,0.478674,39.586079,-106.014404,0.478674,90,343
9180.523438,38,141,10.03,0,272,10.03,0.484041,39.586018,-106.014359,0.484041,91,350
9179.591797,38,141,10.98,0,275,10.98,0.488327,39.585957,-106.014366,0.488327,92,353
9182.122070,39,141,12.5,0,278,12.5,0.492750,39.585896,-106.014343,0.492750,93,356
9183.136719,39,141,11.19,0,281,11.19,0.497411,39.585831,-106.014320,0.497411,94,360
9183.297852,40,141,10.65,0,284,10.65,0.502263,39.585762,-106.014320,0.502263,95,364
9180.142578,40,142,10.04,0,287,10.04,0.507403,39.585690,-106.014305,0.507403,96,370
9182.484375,41,142,9.83,0,290,9.83,0.512373,39.585621,-106.014297,0.512373,97,374
9181.125977,42,141,10.12,0,293,10.12,0.517358,39.585548,-106.014297,0.517358,98,377
9181.123047,42,141,11.82,0,296,11.82,0.521790,39.585487,-106.014282,0.521790,99,380
9191.172852,43,141,13.09,0,299,13.09,0.525476,39.585453,-106.014229,0.525476,100,384
9190.110352,43,143,11.02,0,302,11.02,0.530242,39.585388,-106.014214,0.530242,101,387
9193.346680,44,143,11,0,305,11,0.534443,39.585327,-106.014206,0.534443,102,394
9193.878906,44,143,11.32,0,308,11.32,0.538648,39.585278,-106.014160,0.538648,103,397
9195.156250,45,143,12.04,0,311,12.04,0.542764,39.585224,-106.014137,0.542764,104,400
9197.071289,46,143,11.67,0,314,11.67,0.546789,39.585163,-106.014130,0.546789,105,404
9197.395508,46,144,12.48,0,317,12.48,0.550909,39.585110,-106.014107,0.550909,106,408
9200.100586,47,144,12.34,0,320,12.34,0.554994,39.585052,-106.014084,0.554994,107,410
9201.356445,47,146,11.86,0,323,11.86,0.559238,39.584991,-106.014061,0.559238,108,418
9202.130859,48,146,12.24,0,326,12.24,0.563288,39.584946,-106.014023,0.563288,109,421
9204.552734,49,146,10.86,0,329,10.86,0.568200,39.584885,-106.013985,0.568200,110,424
9208.336914,49,146,11.11,0,332,11.11,0.572409,39.584831,-106.013947,0.572409,111,428
9210.021484,50,146,12.15,0,335,12.15,0.576444,39.584782,-106.013908,0.576444,112,431
9208.065430,50,147,11.55,0,338,11.55,0.580893,39.584721,-106.013878,0.580893,113,434
9207.377930,51,147,10.81,0,341,10.81,0.585354,39.584663,-106.013847,0.585354,114,441
9211.792969,52,147,10.78,0,344,10.78,0.589695,39.584606,-106.013824,0.589695,115,444
9213.442383,52,148,10.86,0,347,10.86,0.594118,39.584549,-106.013802,0.594118,116,448
9213.913086,53,148,9.79,0,350,9.79,0.598695,39.584488,-106.013779,0.598695,117,451
9218.916992,54,149,11,0,353,11,0.602757,39.584431,-106.013771,0.602757,118,454
9219.280273,54,149,11.14,0,356,11.14,0.607028,39.584370,-106.013748,0.607028,119,462
9222.360352,55,149,10.37,0,359,10.37,0.611915,39.584312,-106.013725,0.611915,120,465
9227.243164,55,150,9.73,0,362,9.73,0.616840,39.584248,-106.013695,0.616840,121,468
9232.187500,56,150,13.41,0,365,13.41,0.620262,39.584202,-106.013672,0.620262,122,472
9233.180664,57,150,11.02,0,368,11.02,0.624938,39.584141,-106.013649,0.624938,123,475
9234.329102,57,151,11.88,0,371,11.88,0.629093,39.584084,-106.013634,0.629093,124,478
9237.989258,58,151,12,0,374,12,0.633017,39.584038,-106.013596,0.633017,125,485
9241.196289,59,152,12.4,0,377,12.4,0.637013,39.583992,-106.013550,0.637013,126,488
9243.102539,59,152,12.46,0,380,12.46,0.641144,39.583939,-106.013512,0.641144,127,492
9241.416016,60,152,10.61,0,383,10.61,0.646007,39.583878,-106.013481,0.646007,128,496
9241.772461,61,152,11.05,0,386,11.05,0.650384,39.583828,-106.013435,0.650384,129,502
9247.690430,61,152,13.26,0,389,13.26,0.654271,39.583782,-106.013405,0.654271,130,502
9253.602539,62,152,11.62,0,392,11.62,0.658401,39.583729,-106.013367,0.658401,131,509
9253.657227,63,154,11.4,0,395,11.4,0.662652,39.583675,-106.013329,0.662652,132,512
9255.183594,63,154,12.23,0,398,12.23,0.666886,39.583622,-106.013298,0.666886,133,516
9254.041992,64,153,12.36,0,401,12.36,0.670897,39.583569,-106.013268,0.670897,134,519
9255.742188,65,153,9.86,0,404,9.86,0.676205,39.583508,-106.013222,0.676205,135,522
9255.971680,65,154,11.25,0,407,11.25,0.680479,39.583454,-106.013184,0.680479,136,529
9255.613281,66,154,11.89,0,410,11.89,0.684727,39.583393,-106.013176,0.684727,137,532
9258.106445,66,154,10.88,0,413,10.88,0.689131,39.583340,-106.013138,0.689131,138,536
9259.165039,67,153,11.72,0,416,11.72,0.693545,39.583275,-106.013123,0.693545,139,540
9261.851562,68,153,11.43,0,419,11.43,0.697980,39.583225,-106.013069,0.697980,140,542
9262.397461,68,153,10.21,0,422,10.21,0.703050,39.583168,-106.013023,0.703050,141,546
9267.166992,69,155,11.3,0,425,11.3,0.707158,39.583122,-106.012970,0.707158,142,553
9267.677734,70,155,11.19,0,428,11.19,0.711673,39.583076,-106.012917,0.711673,143,556
9269.917969,70,155,11.15,0,431,11.15,0.716171,39.583031,-106.012856,0.716171,144,560
9273.318359,71,155,11.75,0,434,11.75,0.720565,39.582981,-106.012802,0.720565,145,563
9273.768555,72,157,10.52,0,437,10.52,0.725426,39.582916,-106.012764,0.725426,146,566
9272.838867,73,157,10.19,0,440,10.19,0.730591,39.582848,-106.012726,0.730591,147,570
9275.502930,73,156,10.06,0,443,10.06,0.735346,39.582783,-106.012703,0.735346,148,577
9273.379883,74,158,10.34,0,446,10.34,0.740076,39.582718,-106.012688,0.740076,149,580
9277.192383,75,158,12.09,0,449,12.09,0.743870,39.582672,-106.012650,0.743870,150,584
9277.536133,75,159,11.13,0,452,11.13,0.748969,39.582607,-106.012611,0.748969,151,587
9280.117188,76,159,10.41,0,455,10.41,0.753699,39.582539,-106.012604,0.753699,152,590
9281.983398,77,157,10.29,0,458,10.29,0.758616,39.582481,-106.012657,0.758616,153,594
9281.932617,77,157,10.57,0,461,10.57,0.763439,39.582436,-106.012726,0.763439,154,600
9284.419922,78,157,10.71,0,464,10.71,0.767920,39.582386,-106.012772,0.767920,155,604
9282.432617,79,157,10.71,0,467,10.71,0.772805,39.582340,-106.012848,0.772805,156,608
9281.788086,79,157,11.87,0,470,11.87,0.776402,39.582302,-106.012886,0.776402,157,610
9282.694336,80,156,10.33,0,473,10.33,0.781593,39.582241,-106.012947,0.781593,158,614
9278.353516,81,154,9.73,0,476,9.73,0.786882,39.582180,-106.013008,0.786882,159,620
9286.529297,81,154,10.16,0,479,10.16,0.792037,39.582108,-106.012993,0.792037,160,624
9286.514648,82,156,12.89,0,482,12.89,0.795801,39.582058,-106.012962,0.795801,161,631
9288.418945,83,156,11.7,0,485,11.7,0.800373,39.582012,-106.012901,0.800373,162,631
9286.406250,83,157,10.47,0,488,10.47,0.805656,39.581947,-106.012856,0.805656,163,634
9287.795898,84,157,9.23,0,491,9.23,0.810949,39.581871,-106.012840,0.810949,164,638
9292.361328,85,157,8.63,0,494,8.63,0.816477,39.581799,-106.012810,0.816477,165,644
9291.884766,86,155,10.43,0,497,10.43,0.821281,39.581745,-106.012756,0.821281,166,648
9292.645508,86,155,9.16,0,500,9.16,0.826669,39.581673,-106.012733,0.826669,167,651
9289.146484,87,154,9.43,0,503,9.43,0.831678,39.581604,-106.012764,0.831678,168,654
9293.687500,88,154,10.09,0,506,10.09,0.836685,39.581539,-106.012810,0.836685,169,661
9295.061523,88,154,11.66,0,509,11.66,0.840921,39.581486,-106.012840,0.840921,170,661
9295.140625,89,153,10.71,0,512,10.71,0.845782,39.581448,-106.012917,0.845782,171,668
9291.164062,89,151,8.89,0,515,8.89,0.851596,39.581394,-106.012993,0.851596,172,671
9293.891602,90,151,10.08,0,518,10.08,0.855996,39.581333,-106.012985,0.855996,173,674
9294.146484,91,150,11.25,0,521,11.25,0.860728,39.581268,-106.012970,0.860728,174,678
9294.427734,91,150,13.11,0,524,13.11,0.864614,39.581230,-106.012924,0.864614,175,681
9298.022461,92,152,10.76,0,527,10.76,0.869466,39.581169,-106.012871,0.869466,176,688
9297.023438,93,151,9.66,0,530,9.66,0.874702,39.581116,-106.012802,0.874702,177,692
9298.168945,93,151,9.73,0,533,9.73,0.880307,39.581066,-106.012733,0.880307,178,694
9296.992188,94,151,8.69,0,536,8.69,0.885839,39.581013,-106.012665,0.885839,179,698
9290.448242,95,151,9.67,0,539,9.67,0.890757,39.580963,-106.012596,0.890757,180,702
9292.216797,95,153,9.04,0,542,9.04,0.896788,39.580883,-106.012558,0.896788,181,704
9295.386719,96,153,8.5,0,545,8.5,0.902913,39.580807,-106.012505,0.902913,182,712
9296.000000,97,154,9.08,0,548,9.08,0.908397,39.580734,-106.012474,0.908397,183,714
9295.271484,97,155,9.31,0,551,9.31,0.913612,39.580666,-106.012428,0.913612,184,718
9296.189453,98,155,8.92,0,554,8.92,0.919529,39.580593,-106.012375,0.919529,185,721
9293.548828,99,155,9.92,0,557,9.92,0.924389,39.580524,-106.012367,0.924389,186,724
9295.368164,99,155,9.58,0,560,9.58,0.929822,39.580448,-106.012337,0.929822,187,728
9296.220703,100,155,9.23,0,563,9.23,0.935324,39.580376,-106.012299,0.935324,188,734
9290.369141,101,153,8.16,0,566,8.16,0.941728,39.580296,-106.012253,0.941728,189,736
9285.655273,101,153,7.6,0,569,7.6,0.947950,39.580208,-106.012230,0.947950,190,740
9288.333984,102,153,8.51,0,572,8.51,0.953791,39.580135,-106.012177,0.953791,191,744
9285.167969,103,153,10.33,0,575,10.33,0.958723,39.580074,-106.012146,0.958723,192,746
9288.403320,103,151,9.12,0,578,9.12,0.963988,39.580013,-106.012093,0.963988,193,750
9287.282227,104,153,9.93,0,581,9.93,0.968975,39.579948,-106.012054,0.968975,194,756
9288.344727,105,153,10.21,0,584,10.21,0.973943,39.579891,-106.011993,0.973943,195,760
9289.369141,105,153,9.97,0,587,9.97,0.978863,39.579826,-106.011971,0.978863,196,763
9292.550781,106,153,9.69,0,590,9.69,0.984089,39.579777,-106.011894,0.984089,197,766
9291.980469,106,150,10.86,0,593,10.86,0.988124,39.579720,-106.011871,0.988124,198,770
9299.305664,107,151,13.39,0,596,13.39,0.991746,39.579678,-106.011833,0.991746,199,776
9298.360352,108,151,10.85,0,599,10.85,0.996572,39.579643,-106.011765,0.996572,200,780
9297.328125,108,150,9.72,0,602,9.72,1.001639,39.579620,-106.011673,1.001639,201,786
9297.319336,109,150,10.15,0,605,10.15,1.006642,39.579548,-106.011658,1.006642,202,786
9299.903320,110,153,11.27,0,608,11.27,1.011165,39.579525,-106.011581,1.011165,203,790
9302.317383,110,153,11.59,0,611,11.59,1.015177,39.579494,-106.011520,1.015177,204,793
9299.283203,111,153,9.99,0,614,9.99,1.020828,39.579411,-106.011520,1.020828,205,800
9302.567383,112,154,10.33,0,617,10.33,1.025743,39.579407,-106.011436,1.025743,206,803
9303.411133,112,154,11.2,0,620,11.2,1.030011,39.579365,-106.011383,1.030011,207,806
9316.397461,113,152,13.23,0,623,13.23,1.033722,39.579342,-106.011436,1.033722,208,810
9318.591797,114,155,10.88,0,626,10.88,1.038309,39.579346,-106.011520,1.038309,209,816
9323.773438,114,155,11.98,0,629,11.98,1.042483,39.579308,-106.011574,1.042483,210,816
