Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,0,81.62,-999999,5379.43,5379.43,5379.43,5360.96,5365.27,24.53,ActiveWorkout,11.014,16.6.1,0.32,128,194,12.66,193,249,ios,0.32,63.18,watchos,NO,NO,YES,0,131,63.18,73,50,watchos,gps,65,4.000000,,39.74839401,-104.83879089,2023-10-12T17:35:17,7344,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5365.269043,0,79,34.19,0,0,34.19,0.000000,39.748306,-104.838806,0.000000,0,0
5365.269043,0,79,34.19,0,1,34.19,0.000000,39.748306,-104.838806,0.000000,1,0
5365.269043,0,75,34.19,0,4,34.19,0.000000,39.748306,-104.838806,0.000000,2,0
5373.102539,0,75,19.03,0,7,19.03,0.005531,39.748245,-104.838844,0.005531,3,0
5368.262207,0,74,9.31,0,10,9.31,0.010889,39.748188,-104.838905,0.010889,4,0
5360.958496,0,73,8.18,0,13,8.18,0.016820,39.748180,-104.839012,0.016820,5,4
5370.927246,1,73,6.72,0,16,6.72,0.023812,39.748169,-104.839142,0.023812,6,12
5375.104492,1,82,7.39,0,19,7.39,0.030664,39.748161,-104.839264,0.030664,7,15
5377.288574,1,82,7.7,0,22,7.7,0.036385,39.748146,-104.839371,0.036385,8,18
5374.781250,1,82,8.41,0,25,8.41,0.041816,39.748169,-104.839470,0.041816,9,22
5372.875977,1,82,9.67,0,28,9.67,0.047069,39.748184,-104.839561,0.047069,10,26
5373.366211,1,82,8.46,0,31,8.46,0.053064,39.748177,-104.839676,0.053064,11,32
5371.834473,1,82,8.84,0,34,8.84,0.058482,39.748192,-104.839775,0.058482,12,36
5370.324219,2,82,9.41,0,37,9.41,0.063305,39.748188,-104.839867,0.063305,13,40
5370.322266,2,82,9.93,0,40,9.93,0.068180,39.748192,-104.839951,0.068180,14,43
5370.603027,2,82,9.95,0,43,9.95,0.073276,39.748199,-104.840050,0.073276,15,46
5372.138672,2,82,9.64,0,46,9.64,0.078903,39.748199,-104.840149,0.078903,16,50
5372.145020,2,113,9.78,0,49,9.78,0.083919,39.748199,-104.840248,0.083919,17,57
5372.225098,3,110,9.97,0,52,9.97,0.088479,39.748203,-104.840332,0.088479,18,60
5372.066895,3,110,10.69,0,55,10.69,0.093167,39.748203,-104.840416,0.093167,19,64
5374.797363,3,112,10.4,0,58,10.4,0.098240,39.748207,-104.840515,0.098240,20,68
5373.230957,4,112,10.38,0,61,10.38,0.103375,39.748211,-104.840607,0.103375,21,71
5370.500488,4,112,10.11,0,64,10.11,0.108776,39.748203,-104.840706,0.108776,22,74
5371.687988,5,116,9.51,0,67,9.51,0.114028,39.748192,-104.840805,0.114028,23,82
5372.096680,5,116,8.61,0,70,8.61,0.120114,39.748173,-104.840912,0.120114,24,86
5372.270508,5,116,9.21,0,73,9.21,0.125053,39.748173,-104.841003,0.125053,25,89
5372.673340,6,116,10.37,0,76,10.37,0.129776,39.748173,-104.841095,0.129776,26,92
5373.699219,6,120,10.3,0,79,10.3,0.135066,39.748169,-104.841194,0.135066,27,96
