Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,201.21,258.37,-999999,5378.11,5378.11,5410.1,5283.78,5371.24,773.05,ActiveWorkout,11.014,16.6.1,4.84,128,2969,55.4,2968,3823,ios,4.84,40296170000,watchos,NO,NO,YES,0,181,40296170000.0,83,21,watchos,gps,990,4.000000,,-1,-1,2023-11-18T15:53:48,164580,0,0

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5371.243164,0,93,178.86,0,0,178.86,0.000000,39.748089,-104.838821,0.000000,0,0
5371.243164,0,93,178.86,0,1,178.86,0.000000,39.748089,-104.838821,0.000000,1,0
5371.243164,0,83,178.86,0,4,178.86,0.000000,39.748089,-104.838821,0.000000,2,0
5371.243164,1,83,178.86,0,7,178.86,0.000000,39.748089,-104.838821,0.000000,3,0
5408.369629,1,86,25.14,0,10,25.14,0.004786,39.748112,-104.838905,0.004786,4,0
5410.104492,1,85,10.53,0,13,10.53,0.009962,39.748119,-104.838997,0.009962,5,6
5408.828125,1,85,10.27,0,16,10.27,0.015244,39.748131,-104.839096,0.015244,6,6
5405.264160,1,87,8.55,0,19,8.55,0.021216,39.748146,-104.839203,0.021216,7,8
5404.214844,1,87,9.24,0,22,9.24,0.026143,39.748150,-104.839294,0.026143,8,12
5406.072266,2,101,9.93,0,25,9.93,0.030657,39.748154,-104.839378,0.030657,9,18
5400.571289,2,101,10.3,0,28,10.3,0.035339,39.748165,-104.839470,0.035339,10,22
5389.863281,2,101,10.6,0,31,10.6,0.040285,39.748177,-104.839554,0.040285,11,26
5383.585449,3,108,8.53,0,34,8.53,0.046453,39.748264,-104.839546,0.046453,12,29
5386.255371,3,108,8.78,0,37,8.78,0.051838,39.748341,-104.839539,0.051838,13,36
5385.038086,3,109,10.16,0,40,10.16,0.057232,39.748417,-104.839523,0.057232,14,36
5381.377930,4,113,9.93,0,43,9.93,0.062317,39.748489,-104.839523,0.062317,15,42
5383.864258,4,113,9.54,0,46,9.54,0.067830,39.748566,-104.839539,0.067830,16,46
5383.330078,4,114,9.68,0,49,9.68,0.073186,39.748638,-104.839531,0.073186,17,50
5384.683594,5,114,9.4,0,52,9.4,0.078679,39.748718,-104.839539,0.078679,18,53
5383.333008,5,116,10.02,0,55,10.02,0.083840,39.748791,-104.839539,0.083840,19,56
5380.547852,6,117,9.62,0,58,9.62,0.089239,39.748863,-104.839516,0.089239,20,60
5382.100586,6,117,9.75,0,61,9.75,0.094645,39.748940,-104.839531,0.094645,21,67
5381.716797,6,118,10.12,0,64,10.12,0.099702,39.749008,-104.839546,0.099702,22,70
5379.600586,7,118,9.22,0,67,9.22,0.105772,39.749096,-104.839539,0.105772,23,74
5379.552246,7,119,9.04,0,70,9.04,0.111021,39.749168,-104.839539,0.111021,24,77
5376.962402,8,120,7.86,0,73,7.86,0.117301,39.749203,-104.839630,0.117301,25,80
5376.813477,8,120,9.08,0,76,9.08,0.122633,39.749249,-104.839706,0.122633,26,88
5375.457520,9,122,9.05,0,79,9.05,0.128166,39.749302,-104.839775,0.128166,27,91
5376.367188,9,122,7.87,0,82,7.87,0.134685,39.749336,-104.839874,0.134685,28,94
5375.050781,9,122,7.91,0,85,7.91,0.140723,39.749386,-104.839928,0.140723,29,98
5376.621582,10,127,9.2,0,88,9.2,0.145898,39.749462,-104.839920,0.145898,30,102
5376.793945,10,127,9.81,0,91,9.81,0.151212,39.749538,-104.839912,0.151212,31,105
5380.162109,11,130,9.87,0,94,9.87,0.156158,39.749611,-104.839920,0.156158,32,112
5378.254395,11,130,10.07,0,97,10.07,0.161329,39.749683,-104.839920,0.161329,33,115
5377.099609,12,134,10.19,0,100,10.19,0.166366,39.749756,-104.839928,0.166366,34,118
5373.822754,13,135,8.82,0,103,8.82,0.172190,39.749825,-104.839973,0.172190,35,122
