Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,1399.18,1386.49,-999999,5695.63,5695.63,7183.5,5678.24,5688.08,1028.35,ActiveWorkout,10.104,16.3.1,5.03,256,7299,458.64,7299,4824,ios,5.03,29212540000000000,watchos,NO,NO,YES,0,169,2.921254e+16,59,158,watchos,gps,2424,4.000000,,-1,-1,2023-03-05T09:29:11,296625,0,1060

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
5688.083984,0,68,329.76,0,0,329.76,0.000000,39.999180,-105.282730,0.000000,0,0
5688.083984,0,71,329.76,0,1,329.76,0.000000,39.999180,-105.282730,0.000000,1,0
5688.083984,0,71,329.76,0,4,329.76,0.000000,39.999180,-105.282730,0.000000,2,0
5688.083984,0,71,329.76,0,7,329.76,0.000000,39.999180,-105.282730,0.000000,3,0
5688.083984,0,69,329.76,0,10,329.76,0.000000,39.999180,-105.282730,0.000000,4,0
5686.323730,0,69,3051.16,0,13,3051.16,0.000459,39.999180,-105.282738,0.000459,5,0
5678.235840,0,59,28.82,0,19,28.82,0.002360,39.999119,-105.282745,0.002360,6,0
5682.620117,0,59,21.46,0,22,21.46,0.004298,39.999096,-105.282753,0.004298,7,0
5681.791016,0,59,17.21,0,25,17.21,0.007383,39.999050,-105.282753,0.007383,8,0
5688.992188,1,63,18.3,0,28,18.3,0.010225,39.999008,-105.282753,0.010225,9,4
5690.084961,1,63,23.04,0,31,23.04,0.012034,39.998985,-105.282768,0.012034,10,6
5694.488770,1,67,24.39,0,34,24.39,0.014243,39.998955,-105.282776,0.014243,11,8
5695.299805,1,78,27.66,0,37,27.66,0.015927,39.998932,-105.282784,0.015927,12,12
5699.331543,1,78,17.91,0,40,17.91,0.020108,39.998898,-105.282784,0.020108,13,14
5704.322754,1,78,21.2,0,43,21.2,0.022713,39.998863,-105.282806,0.022713,14,17
5705.043457,1,78,31.38,0,46,31.38,0.024060,39.998863,-105.282814,0.024060,15,19
5703.383789,1,89,41.25,0,49,41.25,0.025189,39.998878,-105.282806,0.025189,16,21
5700.235840,1,89,12.36,0,52,12.36,0.030007,39.998940,-105.282768,0.030007,17,26
5693.502930,1,89,7.16,0,55,7.16,0.037789,39.999050,-105.282745,0.037789,18,28
5689.727539,2,88,7.19,0,58,7.19,0.044086,39.999142,-105.282738,0.044086,19,36
5691.989746,2,88,15.15,0,61,15.15,0.046690,39.999146,-105.282715,0.046690,20,36
5690.454102,2,91,62.28,0,64,62.28,0.047231,39.999149,-105.282707,0.047231,21,39
5688.960449,2,100,147.75,0,67,147.75,0.047562,39.999153,-105.282707,0.047562,22,40
5686.300781,2,100,62.62,0,70,62.62,0.048482,39.999146,-105.282715,0.048482,23,45
5690.878418,3,100,13.75,0,73,13.75,0.052646,39.999096,-105.282745,0.052646,24,46
5698.755859,3,100,6.66,0,76,6.66,0.059648,39.998993,-105.282738,0.059648,25,46
5705.461426,3,98,7.83,0,79,7.83,0.065488,39.998913,-105.282768,0.065488,26,50
5705.017090,3,92,8.19,0,82,8.19,0.071550,39.998837,-105.282822,0.071550,27,54
5708.204590,4,92,12.55,0,85,12.55,0.074958,39.998814,-105.282875,0.074958,28,57
5705.624023,4,101,14.54,0,88,14.54,0.078530,39.998806,-105.282944,0.078530,29,64
5703.626465,4,101,17.19,0,91,17.19,0.081222,39.998798,-105.282967,0.081222,30,68
5701.822754,4,107,29.04,0,94,29.04,0.082859,39.998787,-105.282967,0.082859,31,71
5706.043457,5,117,21.41,0,97,21.41,0.085059,39.998779,-105.282974,0.085059,32,72
5704.722168,5,117,46.72,0,100,46.72,0.086022,39.998783,-105.282967,0.086022,33,73
5703.474121,6,118,40.31,0,103,40.31,0.087557,39.998783,-105.282982,0.087557,34,76
5706.484863,6,113,19.51,0,106,19.51,0.090513,39.998814,-105.282944,0.090513,35,76
5706.145996,6,113,46.58,0,109,46.58,0.091268,39.998810,-105.282944,0.091268,36,76
5705.009766,7,115,62.17,0,112,62.17,0.092029,39.998802,-105.282936,0.092029,37,76
5705.240723,7,115,109.24,0,115,109.24,0.092422,39.998798,-105.282936,0.092422,38,76
5705.273926,7,116,127.05,0,118,127.05,0.092711,39.998798,-105.282944,0.092711,39,76
5700.289551,8,110,25.29,0,122,25.29,0.094586,39.998806,-105.282967,0.094586,40,76
5699.391602,8,108,57.48,0,125,57.48,0.095168,39.998802,-105.282959,0.095168,41,76
5700.001465,8,108,334.15,0,128,334.15,0.095218,39.998802,-105.282959,0.095218,42,76
