Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,173.99,216.7,-999999,9146.24,9146.24,9226.29,9131.28,9165.6,155.19,ActiveWorkout,10.104,16.5,2.53,256,2989,103.45,2989,2496,ios,2.53,32877990000000000,watchos,NO,NO,YES,0,102,3.287799e+16,74,2302,watchos,gps,996,4.000000,,-1,-1,2023-06-17T16:17:04,86628,0,15

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
9163.619141,0,81,23.08,0,0,23.08,0.000000,39.588814,-106.013969,0.000000,0,0
9165.601562,0,81,19.17,0,1,19.17,0.000834,39.588783,-106.013992,0.000834,1,1
9162.809570,0,81,20.17,0,4,20.17,0.003340,39.588749,-106.014000,0.003340,2,4
9158.380859,0,81,22.07,0,7,22.07,0.005536,39.588718,-106.014008,0.005536,3,6
9159.663086,0,82,16.05,0,10,16.05,0.008751,39.588676,-106.014030,0.008751,4,10
9156.172852,1,85,17.26,0,13,17.26,0.012019,39.588650,-106.014084,0.012019,5,12
9154.187500,1,85,16.83,0,16,16.83,0.014584,39.588627,-106.014107,0.014584,6,14
9152.560547,1,88,18.58,0,19,18.58,0.017424,39.588596,-106.014122,0.017424,7,16
9156.289062,1,88,20.78,0,22,20.78,0.020285,39.588558,-106.014145,0.020285,8,19
9161.483398,1,88,16.64,0,25,16.64,0.023646,39.588520,-106.014168,0.023646,9,21
9158.366211,1,88,16.72,0,28,16.72,0.026348,39.588490,-106.014191,0.026348,10,26
9158.785156,2,88,18.19,0,31,18.19,0.029193,39.588455,-106.014221,0.029193,11,28
9156.909180,2,88,18.94,0,34,18.94,0.031539,39.588428,-106.014252,0.031539,12,30
9158.268555,2,88,17.11,0,37,17.11,0.034504,39.588402,-106.014290,0.034504,13,35
9156.266602,2,88,19.41,0,40,19.41,0.036955,39.588371,-106.014313,0.036955,14,35
9153.596680,2,88,23.64,0,43,23.64,0.039369,39.588348,-106.014343,0.039369,15,40
9157.282227,2,88,15.16,0,46,15.16,0.042920,39.588318,-106.014404,0.042920,16,42
9154.227539,3,88,17.04,0,49,17.04,0.045281,39.588306,-106.014442,0.045281,17,44
9153.471680,3,88,21.59,0,52,21.59,0.047945,39.588287,-106.014481,0.047945,18,46
9155.168945,3,88,17.86,0,55,17.86,0.050898,39.588272,-106.014534,0.050898,19,48
9153.487305,3,88,20.41,0,58,20.41,0.053583,39.588261,-106.014580,0.053583,20,51
9155.391602,3,88,19.95,0,61,19.95,0.056437,39.588249,-106.014633,0.056437,21,56
9154.332031,3,88,16.7,0,64,16.7,0.059626,39.588242,-106.014687,0.059626,22,58
9153.349609,4,88,16.83,0,67,16.83,0.062398,39.588242,-106.014740,0.062398,23,60
9156.294922,4,88,16.92,0,70,16.92,0.065075,39.588238,-106.014786,0.065075,24,62
