Workout Summary Data
accountID,altitudeAscent,altitudeDescent,altitudeavg,altitudecurrent,altitudeend,altitudemax,altitudemin,altitudestart,calories,className,createAppVersion,createIOSVersion,distance,ecomodule,elapsedSeconds,fatCalories,footpodElapsedSecondsInterval,footpodStrideCount,gpsSensor,gps_distance,gps_maxspeed,heartSensor,isCompletedAssessment,isLocationIndoors,isgpsonly,kilojoules,maxBPM,maxspeed,minBPM,otherzonetimes,pedometerSensor,primarySourceSpeedDistance,readCountBPM,routineds,routineid,startLat,startLon,startTime,totalBeats,totalDurationSeconds,totalPausedSeconds
5859828045447168,3914.36,3030.87,-999999,9767.75,9767.75,12783.68,8824.06,8824.06,3703.79,ActiveWorkout,10.104,16.5.1,11.85,256,21276,1339.97,21276,12609,ios,11.85,2882303761517117400,watchos,NO,NO,YES,0,164,2.8823037615171174e+18,90,48,watchos,gps,7093,4.000000,,39.63242722,-106.08181,2023-07-01T11:07:03,961391,0,159

Workout Snapshots Data
altitude,calories,currBPM,currMPH,currResistance,elapsedSeconds,gps_currMPH,gps_miles,latitude,longitude,miles,seq,strides
8824.059570,1,133,44.71,0,0,44.71,0.000000,39.632339,-106.081810,0.000000,0,3
8826.978516,1,133,48.57,0,2,48.57,0.000742,39.632324,-106.081818,0.000742,1,6
8824.562500,2,134,39.4,0,5,39.4,0.001916,39.632309,-106.081825,0.001916,2,6
8827.604492,2,134,15.15,0,8,15.15,0.006048,39.632347,-106.081879,0.006048,3,8
8834.361328,3,135,10.71,0,11,10.71,0.010541,39.632370,-106.081917,0.010541,4,10
8839.165039,3,135,27.07,0,14,27.07,0.012434,39.632374,-106.081947,0.012434,5,14
8842.905273,4,134,26.9,0,17,26.9,0.014224,39.632378,-106.081978,0.014224,6,16
8844.907227,4,135,19.99,0,20,19.99,0.017102,39.632401,-106.082016,0.017102,7,18
8845.025391,5,135,23.67,0,23,23.67,0.019143,39.632404,-106.082054,0.019143,8,20
8848.848633,5,136,22.65,0,26,22.65,0.020925,39.632408,-106.082092,0.020925,9,22
8848.486328,6,136,18.33,0,29,18.33,0.024285,39.632439,-106.082138,0.024285,10,24
8847.891602,6,138,18.17,0,32,18.17,0.026949,39.632469,-106.082161,0.026949,11,28
8848.004883,7,139,18.74,0,35,18.74,0.029948,39.632496,-106.082207,0.029948,12,31
8847.252930,7,139,14.33,0,38,14.33,0.033213,39.632526,-106.082253,0.033213,13,33
8851.816406,8,138,19.18,0,41,19.18,0.035726,39.632542,-106.082291,0.035726,14,36
8852.697266,8,138,18.95,0,44,18.95,0.038483,39.632557,-106.082336,0.038483,15,38
8859.014648,9,137,20.29,0,47,20.29,0.041140,39.632591,-106.082352,0.041140,16,40
8861.252930,9,138,19.88,0,50,19.88,0.043484,39.632622,-106.082367,0.043484,17,44
8858.735352,10,138,17.5,0,53,17.5,0.046391,39.632656,-106.082397,0.046391,18,48
8859.659180,11,138,16.63,0,56,16.63,0.049475,39.632698,-106.082405,0.049475,19,48
8863.932617,11,138,19.08,0,59,19.08,0.051966,39.632729,-106.082428,0.051966,20,50
8868.443359,12,136,14.86,0,62,14.86,0.055247,39.632740,-106.082489,0.055247,21,53
8869.030273,12,136,18.07,0,65,18.07,0.058044,39.632755,-106.082504,0.058044,22,58
8867.560547,13,137,19,0,68,19,0.060473,39.632729,-106.082527,0.060473,23,60
8872.495117,13,136,16.63,0,71,16.63,0.063768,39.632690,-106.082550,0.063768,24,61
8872.233398,14,136,28.58,0,74,28.58,0.065090,39.632698,-106.082565,0.065090,25,63
8875.122070,14,136,36.88,0,77,36.88,0.066483,39.632702,-106.082573,0.066483,26,65
8874.730469,15,136,24.61,0,80,24.61,0.068775,39.632713,-106.082565,0.068775,27,68
8874.279297,15,134,46.56,0,83,46.56,0.069268,39.632710,-106.082573,0.069268,28,68
8875.120117,16,135,97.48,0,86,97.48,0.069951,39.632702,-106.082581,0.069951,29,68
8876.598633,16,135,87.38,0,89,87.38,0.070618,39.632702,-106.082588,0.070618,30,68
8876.598633,17,135,42386821790826500,0,92,42386821790826500,0.070618,39.632702,-106.082588,0.070618,31,68
8876.598633,17,135,42386821790826500,0,95,42386821790826500,0.070618,39.632702,-106.082588,0.070618,32,68
8876.598633,18,135,42386821790826500,0,98,42386821790826500,0.070618,39.632702,-106.082588,0.070618,33,68
8876.598633,18,134,42386821790826500,0,101,42386821790826500,0.070618,39.632702,-106.082588,0.070618,34,68
8876.598633,19,134,42386821790826500,0,104,42386821790826500,0.070618,39.632702,-106.082588,0.070618,35,68
8876.598633,19,132,42386821790826500,0,107,42386821790826500,0.070618,39.632702,-106.082588,0.070618,36,68
8876.598633,20,132,42386821790826500,0,110,42386821790826500,0.070618,39.632702,-106.082588,0.070618,37,68
8876.598633,20,130,42386821790826500,0,113,42386821790826500,0.070618,39.632702,-106.082588,0.070618,38,68
8876.598633,21,130,42386821790826500,0,116,42386821790826500,0.070618,39.632702,-106.082588,0.070618,39,68
8879.813477,21,121,22.23,0,119,22.23,0.073616,39.632710,-106.082558,0.073616,40,68
8875.000000,22,120,11.27,0,122,11.27,0.077938,39.632652,-106.082550,0.077938,41,68
8874.766602,22,120,12.26,0,125,12.26,0.080968,39.632614,-106.082542,0.080968,42,68
8878.386719,22,120,16.8,0,128,16.8,0.083698,39.632580,-106.082542,0.083698,43,73
8876.860352,23,120,22.24,0,131,22.24,0.085550,39.632553,-106.082550,0.085550,44,76
8877.616211,23,118,20.97,0,134,20.97,0.087794,39.632530,-106.082535,0.087794,45,80
8873.840820,24,117,19.79,0,137,19.79,0.090442,39.632496,-106.082512,0.090442,46,82
8875.416992,24,117,16.94,0,140,16.94,0.093393,39.632465,-106.082481,0.093393,47,84
8877.416992,24,117,22.85,0,143,22.85,0.095367,39.632454,-106.082443,0.095367,48,86
8878.228516,25,117,16.13,0,146,16.13,0.098789,39.632412,-106.082413,0.098789,49,88
8883.310547,25,119,17.01,0,149,17.01,0.101605,39.632370,-106.082420,0.101605,50,90
8879.633789,26,120,19.62,0,152,19.62,0.104043,39.632336,-106.082413,0.104043,51,95
8882.033203,26,120,23.27,0,155,23.27,0.106192,39.632305,-106.082420,0.106192,52,97
8882.803711,26,122,24.99,0,158,24.99,0.108324,39.632275,-106.082420,0.108324,53,99
8886.689453,27,122,23.03,0,161,23.03,0.110581,39.632244,-106.082420,0.110581,54,101
8889.263672,27,125,18.7,0,164,18.7,0.113536,39.632202,-106.082397,0.113536,55,103
8889.616211,28,125,19.27,0,167,19.27,0.116026,39.632172,-106.082382,0.116026,56,106
8892.124023,28,125,17.1,0,170,17.1,0.119232,39.632130,-106.082359,0.119232,57,110
8894.609375,29,128,15.71,0,173,15.71,0.122368,39.632084,-106.082352,0.122368,58,112
8899.175781,29,128,20.68,0,176,20.68,0.124579,39.632053,-106.082352,0.124579,59,114
